year,fuel,value
2021,Power,289479.25
2021,Heat,0
2021,Mobility,0
2021,Cooking,0
2030,Power,331325.91
2030,Heat,1368279.92
2030,Mobility,138011.1102
2030,Cooking,107103.79
2035,Power,347103.66
2035,Heat,1401005.37
2035,Mobility,137937.25
2035,Cooking,110750.65
2040,Power,362880.79
2040,Heat,1433513.77
2040,Mobility,143514.301
2040,Cooking,129049.6
