technology,value
SolarPV,0.00001
WindOnshore,0.00001
HydroPower,0.00001
DieselGenerator,0.7
Tidal,0.00001
DieselImport,0.00001
Forest,0.00001
ElectricStove,0.00001
ElectricVehicle,0.00001
WoodBurner,0.00001
ElectricHeatPump,0.00001
