year,fuel,value
2025,Power,289479.3
2025,Heat,1163037.9
2025,Mobility,117309.4
2025,Cooking,91038.2
2030,Power,331325.9
2030,Heat,1368279.9
2030,Mobility,138011.1
2030,Cooking,107103.8
2035,Power,347103.7
2035,Heat,1401005.4
2035,Mobility,137937.3
2035,Cooking,110750.7
2040,Power,362880.8
2040,Heat,1433513.8
2040,Mobility,143514.3
2040,Cooking,129049.6
