Hour,Storage,Fuel,Value
73,LeadAcidBattery,Diesel,0.0
74,LeadAcidBattery,Power,493.9653714010616
74,LeadAcidBattery,Diesel,0.0
75,LeadAcidBattery,Power,505.8190552817816
75,LeadAcidBattery,Diesel,0.0
76,LeadAcidBattery,Power,517.3792110925016
76,LeadAcidBattery,Diesel,0.0
77,LeadAcidBattery,Power,528.2759016445016
77,LeadAcidBattery,Diesel,0.0
78,LeadAcidBattery,Power,538.6029156992216
78,LeadAcidBattery,Diesel,0.0
79,LeadAcidBattery,Power,545.7722988872216
79,LeadAcidBattery,Diesel,0.0
80,LeadAcidBattery,Power,552.1618304919416
80,LeadAcidBattery,Diesel,0.0
81,LeadAcidBattery,Power,556.0161985948016
81,LeadAcidBattery,Diesel,0.0
82,LeadAcidBattery,Power,556.0161985948016
82,LeadAcidBattery,Diesel,0.0
83,LeadAcidBattery,Power,556.0161985948016
83,LeadAcidBattery,Diesel,0.0
84,LeadAcidBattery,Power,562.5555023779016
84,LeadAcidBattery,Diesel,0.0
85,LeadAcidBattery,Power,562.5555023779016
85,LeadAcidBattery,Diesel,0.0
86,LeadAcidBattery,Power,567.6137503678616
86,LeadAcidBattery,Diesel,0.0
87,LeadAcidBattery,Power,567.6137503678616
87,LeadAcidBattery,Diesel,0.0
88,LeadAcidBattery,Power,567.6137503678616
88,LeadAcidBattery,Diesel,0.0
89,LeadAcidBattery,Power,566.3713383466495
89,LeadAcidBattery,Diesel,0.0
90,LeadAcidBattery,Power,551.992720201195
90,LeadAcidBattery,Diesel,0.0
91,LeadAcidBattery,Power,433.85481945459856
91,LeadAcidBattery,Diesel,0.0
92,LeadAcidBattery,Power,457.75981086159857
92,LeadAcidBattery,Diesel,0.0
93,LeadAcidBattery,Power,451.00241496159856
93,LeadAcidBattery,Diesel,0.0
94,LeadAcidBattery,Power,459.22953744759855
94,LeadAcidBattery,Diesel,0.0
95,LeadAcidBattery,Power,450.72970201426523
95,LeadAcidBattery,Diesel,0.0
96,LeadAcidBattery,Power,450.72970201426523
96,LeadAcidBattery,Diesel,0.0
97,LeadAcidBattery,Power,458.9064381809852
97,LeadAcidBattery,Diesel,0.0
98,LeadAcidBattery,Power,470.8139603129852
98,LeadAcidBattery,Diesel,0.0
99,LeadAcidBattery,Power,483.06017894026525
99,LeadAcidBattery,Diesel,0.0
100,LeadAcidBattery,Power,495.45924247954525
100,LeadAcidBattery,Diesel,0.0
101,LeadAcidBattery,Power,506.28993302626526
101,LeadAcidBattery,Diesel,0.0
102,LeadAcidBattery,Power,506.28993302626526
102,LeadAcidBattery,Diesel,0.0
103,LeadAcidBattery,Power,516.1219137562653
103,LeadAcidBattery,Diesel,0.0
104,LeadAcidBattery,Power,516.1219137562653
104,LeadAcidBattery,Diesel,0.0
105,LeadAcidBattery,Power,516.1219137562653
105,LeadAcidBattery,Diesel,0.0
106,LeadAcidBattery,Power,505.6402622592956
106,LeadAcidBattery,Diesel,0.0
107,LeadAcidBattery,Power,521.8414738625756
107,LeadAcidBattery,Diesel,0.0
108,LeadAcidBattery,Power,521.8414738625756
108,LeadAcidBattery,Diesel,0.0
109,LeadAcidBattery,Power,521.8414738625756
109,LeadAcidBattery,Diesel,0.0
110,LeadAcidBattery,Power,521.8414738625756
110,LeadAcidBattery,Diesel,0.0
111,LeadAcidBattery,Power,526.5247637184357
111,LeadAcidBattery,Diesel,0.0
112,LeadAcidBattery,Power,526.5247637184357
112,LeadAcidBattery,Diesel,0.0
113,LeadAcidBattery,Power,526.5247637184357
113,LeadAcidBattery,Diesel,0.0
114,LeadAcidBattery,Power,499.7067021805569
114,LeadAcidBattery,Diesel,0.0
115,LeadAcidBattery,Power,497.91890815025386
115,LeadAcidBattery,Diesel,0.0
116,LeadAcidBattery,Power,473.464242601769
116,LeadAcidBattery,Diesel,0.0
117,LeadAcidBattery,Power,355.3263418551726
117,LeadAcidBattery,Diesel,0.0
118,LeadAcidBattery,Power,342.38701242486957
118,LeadAcidBattery,Diesel,0.0
119,LeadAcidBattery,Power,333.2960901400211
119,LeadAcidBattery,Diesel,0.0
120,LeadAcidBattery,Power,330.5840209369908
120,LeadAcidBattery,Diesel,0.0
121,LeadAcidBattery,Power,329.0688432930514
121,LeadAcidBattery,Diesel,0.0
122,LeadAcidBattery,Power,329.0688432930514
122,LeadAcidBattery,Diesel,0.0
123,LeadAcidBattery,Power,329.0688432930514
123,LeadAcidBattery,Diesel,0.0
124,LeadAcidBattery,Power,329.0688432930514
124,LeadAcidBattery,Diesel,0.0
