Hour,Technology,Fuel,Value
11,ElectricHeater,Power,0.0
11,ElectricHeater,Heat,0.078
11,ElectricHeater,Diesel,0.0
11,HydroPower,Power,0.02881998009666117
11,HydroPower,Heat,0.0
11,HydroPower,Diesel,0.0
11,DieselGenerator,Power,0.0
11,DieselGenerator,Heat,0.0
11,DieselGenerator,Diesel,0.0
12,SolarPV,Power,0.0
12,SolarPV,Heat,0.0
12,SolarPV,Diesel,0.0
12,WindOnshore,Power,0.07591710062999484
12,WindOnshore,Heat,0.0
12,WindOnshore,Diesel,0.0
12,ElectricHeater,Power,0.0
12,ElectricHeater,Heat,0.097
12,ElectricHeater,Diesel,0.0
12,HydroPower,Power,0.10925279753181145
12,HydroPower,Heat,0.0
12,HydroPower,Diesel,0.0
12,DieselGenerator,Power,0.0
12,DieselGenerator,Heat,0.0
12,DieselGenerator,Diesel,0.0
13,SolarPV,Power,0.0
13,SolarPV,Heat,0.0
13,SolarPV,Diesel,0.0
13,WindOnshore,Power,0.01438653410594229
13,WindOnshore,Heat,0.0
13,WindOnshore,Diesel,0.0
13,ElectricHeater,Power,0.0
13,ElectricHeater,Heat,0.11384999999999999
13,ElectricHeater,Diesel,0.0
13,HydroPower,Power,0.18001156532199747
13,HydroPower,Heat,0.0
13,HydroPower,Diesel,0.0
13,DieselGenerator,Power,0.0
13,DieselGenerator,Heat,0.0
13,DieselGenerator,Diesel,0.0
14,SolarPV,Power,0.0
14,SolarPV,Heat,0.0
14,SolarPV,Diesel,0.0
14,WindOnshore,Power,0.030890776217265787
14,WindOnshore,Heat,0.0
14,WindOnshore,Diesel,0.0
14,ElectricHeater,Power,0.0
14,ElectricHeater,Heat,0.10905
14,ElectricHeater,Diesel,0.0
14,HydroPower,Power,0.25265681935094886
14,HydroPower,Heat,0.0
14,HydroPower,Diesel,0.0
14,DieselGenerator,Power,0.0
14,DieselGenerator,Heat,0.0
14,DieselGenerator,Diesel,0.0
15,SolarPV,Power,0.0
15,SolarPV,Heat,0.0
15,SolarPV,Diesel,0.0
15,WindOnshore,Power,0.045426354697435466
15,WindOnshore,Heat,0.0
15,WindOnshore,Diesel,0.0
15,ElectricHeater,Power,0.0
15,ElectricHeater,Heat,0.09475
15,ElectricHeater,Diesel,0.0
15,HydroPower,Power,0.013019498473346203
15,HydroPower,Heat,0.0
15,HydroPower,Diesel,0.0
15,DieselGenerator,Power,0.0
15,DieselGenerator,Heat,0.0
15,DieselGenerator,Diesel,0.0
16,SolarPV,Power,0.0
16,SolarPV,Heat,0.0
16,SolarPV,Diesel,0.0
16,WindOnshore,Power,0.04769811323472223
16,WindOnshore,Heat,0.0
16,WindOnshore,Diesel,0.0
16,ElectricHeater,Power,0.0
16,ElectricHeater,Heat,0.0884
16,ElectricHeater,Diesel,0.0
16,HydroPower,Power,0.02048737243380799
16,HydroPower,Heat,0.0
16,HydroPower,Diesel,0.0
16,DieselGenerator,Power,0.0
16,DieselGenerator,Heat,0.0
16,DieselGenerator,Diesel,0.0
17,SolarPV,Power,0.0
17,SolarPV,Heat,0.0
17,SolarPV,Diesel,0.0
17,WindOnshore,Power,0.04112038787913816
17,WindOnshore,Heat,0.0
17,WindOnshore,Diesel,0.0
17,ElectricHeater,Power,0.0
17,ElectricHeater,Heat,0.09154999999999999
17,ElectricHeater,Diesel,0.0
17,HydroPower,Power,0.023118763823164617
17,HydroPower,Heat,0.0
17,HydroPower,Diesel,0.0
17,DieselGenerator,Power,0.0
17,DieselGenerator,Heat,0.0
17,DieselGenerator,Diesel,0.0
18,SolarPV,Power,0.0
18,SolarPV,Heat,0.0
18,SolarPV,Diesel,0.0
18,WindOnshore,Power,0.05125572404733753
18,WindOnshore,Heat,0.0
18,WindOnshore,Diesel,0.0
18,ElectricHeater,Power,0.0
18,ElectricHeater,Heat,0.1104
18,ElectricHeater,Diesel,0.0
18,HydroPower,Power,0.03206334702746735
18,HydroPower,Heat,0.0
18,HydroPower,Diesel,0.0
18,DieselGenerator,Power,0.0
18,DieselGenerator,Heat,0.0
18,DieselGenerator,Diesel,0.0
19,SolarPV,Power,0.0
19,SolarPV,Heat,0.0
19,SolarPV,Diesel,0.0
19,WindOnshore,Power,0.05892685480528436
19,WindOnshore,Heat,0.0
19,WindOnshore,Diesel,0.0
19,ElectricHeater,Power,0.0
19,ElectricHeater,Heat,0.13169999999999998
19,ElectricHeater,Diesel,0.0
19,HydroPower,Power,0.018105159806154333
19,HydroPower,Heat,0.0
19,HydroPower,Diesel,0.0
19,DieselGenerator,Power,0.0
19,DieselGenerator,Heat,0.0
19,DieselGenerator,Diesel,0.0
20,SolarPV,Power,0.0
20,SolarPV,Heat,0.0
20,SolarPV,Diesel,0.0
20,WindOnshore,Power,0.05510899871974036
20,WindOnshore,Heat,0.0
20,WindOnshore,Diesel,0.0
20,ElectricHeater,Power,0.0
20,ElectricHeater,Heat,0.1418
20,ElectricHeater,Diesel,0.0
20,HydroPower,Power,0.19059162249151235
20,HydroPower,Heat,0.0
20,HydroPower,Diesel,0.0
20,DieselGenerator,Power,0.0
20,DieselGenerator,Heat,0.0
20,DieselGenerator,Diesel,0.0
21,SolarPV,Power,0.0
21,SolarPV,Heat,0.0
21,SolarPV,Diesel,0.0
21,WindOnshore,Power,0.030961606295686527
21,WindOnshore,Heat,0.0
21,WindOnshore,Diesel,0.0
21,ElectricHeater,Power,0.0
21,ElectricHeater,Heat,0.12664999999999998
21,ElectricHeater,Diesel,0.0
21,HydroPower,Power,0.0003505695663505707
21,HydroPower,Heat,0.0
21,HydroPower,Diesel,0.0
21,DieselGenerator,Power,0.0
21,DieselGenerator,Heat,0.0
21,DieselGenerator,Diesel,0.0
22,SolarPV,Power,0.0
22,SolarPV,Heat,0.0
22,SolarPV,Diesel,0.0
22,WindOnshore,Power,0.05904917971045967
22,WindOnshore,Heat,0.0
22,WindOnshore,Diesel,0.0
22,ElectricHeater,Power,0.0
22,ElectricHeater,Heat,0.09865
22,ElectricHeater,Diesel,0.0
22,HydroPower,Power,0.09026043164979138
22,HydroPower,Heat,0.0
22,HydroPower,Diesel,0.0
22,DieselGenerator,Power,0.0
22,DieselGenerator,Heat,0.0
22,DieselGenerator,Diesel,0.0
23,SolarPV,Power,0.0
23,SolarPV,Heat,0.0
23,SolarPV,Diesel,0.0
23,WindOnshore,Power,0.058085679544664356
23,WindOnshore,Heat,0.0
23,WindOnshore,Diesel,0.0
23,ElectricHeater,Power,0.0
23,ElectricHeater,Heat,0.07125000000000001
23,ElectricHeater,Diesel,0.0
23,HydroPower,Power,0.07551732550748881
23,HydroPower,Heat,0.0
23,HydroPower,Diesel,0.0
23,DieselGenerator,Power,0.0
23,DieselGenerator,Heat,0.0
23,DieselGenerator,Diesel,0.0
24,SolarPV,Power,0.0
24,SolarPV,Heat,0.0
24,SolarPV,Diesel,0.0
24,WindOnshore,Power,0.09929288717949687
24,WindOnshore,Heat,0.0
24,WindOnshore,Diesel,0.0
24,ElectricHeater,Power,0.0
24,ElectricHeater,Heat,0.0653
24,ElectricHeater,Diesel,0.0
24,HydroPower,Power,0.13555612116896099
24,HydroPower,Heat,0.0
24,HydroPower,Diesel,0.0
24,DieselGenerator,Power,0.0
24,DieselGenerator,Heat,0.0
24,DieselGenerator,Diesel,0.0
25,SolarPV,Power,0.0
25,SolarPV,Heat,0.0
25,SolarPV,Diesel,0.0
25,WindOnshore,Power,0.15741663554631677
25,WindOnshore,Heat,0.0
25,WindOnshore,Diesel,0.0
25,ElectricHeater,Power,0.0
25,ElectricHeater,Heat,0.08
25,ElectricHeater,Diesel,0.0
25,HydroPower,Power,0.14101081472222532
25,HydroPower,Heat,0.0
25,HydroPower,Diesel,0.0
25,DieselGenerator,Power,0.0
25,DieselGenerator,Heat,0.0
25,DieselGenerator,Diesel,0.0
26,SolarPV,Power,0.0
26,SolarPV,Heat,0.0
26,SolarPV,Diesel,0.0
26,WindOnshore,Power,0.14770268168167977
26,WindOnshore,Heat,0.0
26,WindOnshore,Diesel,0.0
26,ElectricHeater,Power,0.0
26,ElectricHeater,Heat,0.09204999999999999
26,ElectricHeater,Diesel,0.0
26,HydroPower,Power,0.2796060700075733
26,HydroPower,Heat,0.0
26,HydroPower,Diesel,0.0
26,DieselGenerator,Power,0.0
26,DieselGenerator,Heat,0.0
26,DieselGenerator,Diesel,0.0
27,SolarPV,Power,0.0
27,SolarPV,Heat,0.0
27,SolarPV,Diesel,0.0
27,WindOnshore,Power,0.09591022822438423
27,WindOnshore,Heat,0.0
27,WindOnshore,Diesel,0.0
27,ElectricHeater,Power,0.0
27,ElectricHeater,Heat,0.0861
27,ElectricHeater,Diesel,0.0
27,HydroPower,Power,0.058781615402188216
27,HydroPower,Heat,0.0
27,HydroPower,Diesel,0.0
27,DieselGenerator,Power,0.0
27,DieselGenerator,Heat,0.0
27,DieselGenerator,Diesel,0.0
28,SolarPV,Power,0.0
28,SolarPV,Heat,0.0
28,SolarPV,Diesel,0.0
28,WindOnshore,Power,0.0048654045840659825
28,WindOnshore,Heat,0.0
28,WindOnshore,Diesel,0.0
28,ElectricHeater,Power,0.0
28,ElectricHeater,Heat,0.0636
28,ElectricHeater,Diesel,0.0
28,HydroPower,Power,0.11160807584037684
28,HydroPower,Heat,0.0
28,HydroPower,Diesel,0.0
28,DieselGenerator,Power,0.0
28,DieselGenerator,Heat,0.0
28,DieselGenerator,Diesel,0.0
29,SolarPV,Power,0.0
29,SolarPV,Heat,0.0
29,SolarPV,Diesel,0.0
29,WindOnshore,Power,0.01294514015111246
29,WindOnshore,Heat,0.0
29,WindOnshore,Diesel,0.0
29,ElectricHeater,Power,0.0
29,ElectricHeater,Heat,0.0468
29,ElectricHeater,Diesel,0.0
29,HydroPower,Power,0.08338665784061637
29,HydroPower,Heat,0.0
29,HydroPower,Diesel,0.0
29,DieselGenerator,Power,0.0
29,DieselGenerator,Heat,0.0
29,DieselGenerator,Diesel,0.0
30,SolarPV,Power,0.0
30,SolarPV,Heat,0.0
30,SolarPV,Diesel,0.0
30,WindOnshore,Power,0.017198433755746662
30,WindOnshore,Heat,0.0
30,WindOnshore,Diesel,0.0
30,ElectricHeater,Power,0.0
30,ElectricHeater,Heat,0.041650000000000006
30,ElectricHeater,Diesel,0.0
30,HydroPower,Power,0.10065787824103377
30,HydroPower,Heat,0.0
30,HydroPower,Diesel,0.0
30,DieselGenerator,Power,0.0
30,DieselGenerator,Heat,0.0
30,DieselGenerator,Diesel,0.0
31,SolarPV,Power,0.0
31,SolarPV,Heat,0.0
31,SolarPV,Diesel,0.0
31,WindOnshore,Power,0.09437157562925433
31,WindOnshore,Heat,0.0
31,WindOnshore,Diesel,0.0
31,ElectricHeater,Power,0.0
31,ElectricHeater,Heat,0.0378
31,ElectricHeater,Diesel,0.0
31,HydroPower,Power,0.151594709963191
31,HydroPower,Heat,0.0
31,HydroPower,Diesel,0.0
31,DieselGenerator,Power,0.0
31,DieselGenerator,Heat,0.0
31,DieselGenerator,Diesel,0.0
32,SolarPV,Power,0.0
32,SolarPV,Heat,0.0
32,SolarPV,Diesel,0.0
32,WindOnshore,Power,0.08403537841740576
32,WindOnshore,Heat,0.0
32,WindOnshore,Diesel,0.0
32,ElectricHeater,Power,0.0
32,ElectricHeater,Heat,0.025799999999999997
32,ElectricHeater,Diesel,0.0
32,HydroPower,Power,0.09472562747105721
32,HydroPower,Heat,0.0
32,HydroPower,Diesel,0.0
32,DieselGenerator,Power,0.0
32,DieselGenerator,Heat,0.0
32,DieselGenerator,Diesel,0.0
33,SolarPV,Power,0.0
33,SolarPV,Heat,0.0
33,SolarPV,Diesel,0.0
33,WindOnshore,Power,0.10921761762328969
33,WindOnshore,Heat,0.0
33,WindOnshore,Diesel,0.0
33,ElectricHeater,Power,0.0
33,ElectricHeater,Heat,0.0206
33,ElectricHeater,Diesel,0.0
33,HydroPower,Power,0.14313113974032507
33,HydroPower,Heat,0.0
33,HydroPower,Diesel,0.0
33,DieselGenerator,Power,0.0
33,DieselGenerator,Heat,0.0
33,DieselGenerator,Diesel,0.0
34,SolarPV,Power,0.0
34,SolarPV,Heat,0.0
34,SolarPV,Diesel,0.0
34,WindOnshore,Power,0.03063136875699461
34,WindOnshore,Heat,0.0
34,WindOnshore,Diesel,0.0
34,ElectricHeater,Power,0.0
34,ElectricHeater,Heat,0.016
34,ElectricHeater,Diesel,0.0
34,HydroPower,Power,0.13239611090832396
34,HydroPower,Heat,0.0
34,HydroPower,Diesel,0.0
34,DieselGenerator,Power,0.0
34,DieselGenerator,Heat,0.0
34,DieselGenerator,Diesel,0.0
35,SolarPV,Power,0.0
35,SolarPV,Heat,0.0
35,SolarPV,Diesel,0.0
35,WindOnshore,Power,0.023116382778785246
35,WindOnshore,Heat,0.0
35,WindOnshore,Diesel,0.0
35,ElectricHeater,Power,0.0
35,ElectricHeater,Heat,0.021949999999999997
35,ElectricHeater,Diesel,0.0
35,HydroPower,Power,0.08995414904676009
35,HydroPower,Heat,0.0
35,HydroPower,Diesel,0.0
35,DieselGenerator,Power,0.0
35,DieselGenerator,Heat,0.0
35,DieselGenerator,Diesel,0.0
36,SolarPV,Power,0.0
36,SolarPV,Heat,0.0
36,SolarPV,Diesel,0.0
36,WindOnshore,Power,0.013023249436525048
36,WindOnshore,Heat,0.0
36,WindOnshore,Diesel,0.0
36,ElectricHeater,Power,0.0
36,ElectricHeater,Heat,0.01765
36,ElectricHeater,Diesel,0.0
36,HydroPower,Power,0.19956612494818882
36,HydroPower,Heat,0.0
36,HydroPower,Diesel,0.0
36,DieselGenerator,Power,0.0
36,DieselGenerator,Heat,0.0
36,DieselGenerator,Diesel,0.0
37,SolarPV,Power,0.0
37,SolarPV,Heat,0.0
37,SolarPV,Diesel,0.0
37,WindOnshore,Power,0.025219149507962224
37,WindOnshore,Heat,0.0
37,WindOnshore,Diesel,0.0
37,ElectricHeater,Power,0.0
37,ElectricHeater,Heat,0.02075
37,ElectricHeater,Diesel,0.0
37,HydroPower,Power,0.06196001719707679
37,HydroPower,Heat,0.0
37,HydroPower,Diesel,0.0
37,DieselGenerator,Power,0.0
37,DieselGenerator,Heat,0.0
37,DieselGenerator,Diesel,0.0
38,SolarPV,Power,0.0
38,SolarPV,Heat,0.0
38,SolarPV,Diesel,0.0
38,WindOnshore,Power,0.042798574596347526
38,WindOnshore,Heat,0.0
38,WindOnshore,Diesel,0.0
38,ElectricHeater,Power,0.0
38,ElectricHeater,Heat,0.02885
38,ElectricHeater,Diesel,0.0
38,HydroPower,Power,0.17297741594176028
38,HydroPower,Heat,0.0
38,HydroPower,Diesel,0.0
38,DieselGenerator,Power,0.0
38,DieselGenerator,Heat,0.0
38,DieselGenerator,Diesel,0.0
39,SolarPV,Power,0.0
39,SolarPV,Heat,0.0
39,SolarPV,Diesel,0.0
39,WindOnshore,Power,0.0776734695722689
39,WindOnshore,Heat,0.0
39,WindOnshore,Diesel,0.0
39,ElectricHeater,Power,0.0
39,ElectricHeater,Heat,0.02855
39,ElectricHeater,Diesel,0.0
39,HydroPower,Power,0.023002626901934317
39,HydroPower,Heat,0.0
39,HydroPower,Diesel,0.0
39,DieselGenerator,Power,0.0
39,DieselGenerator,Heat,0.0
39,DieselGenerator,Diesel,0.0
40,SolarPV,Power,0.0
40,SolarPV,Heat,0.0
40,SolarPV,Diesel,0.0
40,WindOnshore,Power,0.06854530597369718
40,WindOnshore,Heat,0.0
40,WindOnshore,Diesel,0.0
40,ElectricHeater,Power,0.0
40,ElectricHeater,Heat,0.02585
40,ElectricHeater,Diesel,0.0
40,HydroPower,Power,0.10176162356683065
40,HydroPower,Heat,0.0
40,HydroPower,Diesel,0.0
40,DieselGenerator,Power,0.0
40,DieselGenerator,Heat,0.0
40,DieselGenerator,Diesel,0.0
41,SolarPV,Power,0.0
41,SolarPV,Heat,0.0
41,SolarPV,Diesel,0.0
41,WindOnshore,Power,0.08167883959656452
41,WindOnshore,Heat,0.0
41,WindOnshore,Diesel,0.0
41,ElectricHeater,Power,0.0
41,ElectricHeater,Heat,0.02215
41,ElectricHeater,Diesel,0.0
41,HydroPower,Power,0.013139858173423714
41,HydroPower,Heat,0.0
41,HydroPower,Diesel,0.0
41,DieselGenerator,Power,0.0
41,DieselGenerator,Heat,0.0
41,DieselGenerator,Diesel,0.0
42,SolarPV,Power,0.0
42,SolarPV,Heat,0.0
42,SolarPV,Diesel,0.0
42,WindOnshore,Power,0.05681540882513195
42,WindOnshore,Heat,0.0
42,WindOnshore,Diesel,0.0
42,ElectricHeater,Power,0.0
42,ElectricHeater,Heat,0.02595
42,ElectricHeater,Diesel,0.0
42,HydroPower,Power,0.188369677104679
42,HydroPower,Heat,0.0
42,HydroPower,Diesel,0.0
42,DieselGenerator,Power,0.0
42,DieselGenerator,Heat,0.0
42,DieselGenerator,Diesel,0.0
43,SolarPV,Power,0.0
43,SolarPV,Heat,0.0
43,SolarPV,Diesel,0.0
43,WindOnshore,Power,0.05088693549011302
43,WindOnshore,Heat,0.0
43,WindOnshore,Diesel,0.0
43,ElectricHeater,Power,0.0
43,ElectricHeater,Heat,0.0246
43,ElectricHeater,Diesel,0.0
43,HydroPower,Power,0.05282368346295752
43,HydroPower,Heat,0.0
43,HydroPower,Diesel,0.0
43,DieselGenerator,Power,0.0
43,DieselGenerator,Heat,0.0
43,DieselGenerator,Diesel,0.0
44,SolarPV,Power,0.0
44,SolarPV,Heat,0.0
44,SolarPV,Diesel,0.0
44,WindOnshore,Power,0.04241875938012241
44,WindOnshore,Heat,0.0
44,WindOnshore,Diesel,0.0
