Hour,Technology,Value
23,WoodBurner,0.24586623319999998
24,SolarPV,0.0
24,WindOnshore,0.0
24,HydroPower,1.17936
24,DieselGenerator,0.0
24,Tidal,0.0
24,DieselImport,0.0
24,Forest,0.23734116466
24,ElectricStove,0.0
24,ElectricVehicle,0.0
24,WoodBurner,0.23734116466
25,SolarPV,0.0
25,WindOnshore,0.0
25,HydroPower,1.17936
25,DieselGenerator,0.0
25,Tidal,0.0
25,DieselImport,0.0
25,Forest,0.25514727644
25,ElectricStove,0.0
25,ElectricVehicle,0.0
25,WoodBurner,0.25514727644
26,SolarPV,0.0
26,WindOnshore,0.0
26,HydroPower,1.1648
26,DieselGenerator,0.0
26,Tidal,0.0
26,DieselImport,0.0
26,Forest,0.24754100792
26,ElectricStove,0.0
26,ElectricVehicle,0.0
26,WoodBurner,0.24754100792
27,SolarPV,0.0
27,WindOnshore,0.0
27,HydroPower,1.1648
27,DieselGenerator,0.0
27,Tidal,0.0
27,DieselImport,0.0
27,Forest,0.2487738282
27,ElectricStove,0.0
27,ElectricVehicle,0.0
27,WoodBurner,0.2487738282
28,SolarPV,0.0
28,WindOnshore,0.0
28,HydroPower,1.1648
28,DieselGenerator,0.0
28,Tidal,0.0
28,DieselImport,0.0
28,Forest,0.24680829398
28,ElectricStove,0.0
28,ElectricVehicle,0.0
28,WoodBurner,0.24680829398
29,SolarPV,0.0
29,WindOnshore,0.0
29,HydroPower,1.15024
29,DieselGenerator,0.0
29,Tidal,0.0
29,DieselImport,0.0
29,Forest,0.29264362156
29,ElectricStove,0.0
29,ElectricVehicle,0.0
29,WoodBurner,0.29264362156
30,SolarPV,0.0
30,WindOnshore,0.0
30,HydroPower,1.15024
30,DieselGenerator,0.0
30,Tidal,0.0
30,DieselImport,0.0
30,Forest,0.30492530283999997
30,ElectricStove,0.00312761049
30,ElectricVehicle,0.0
30,WoodBurner,0.30492530283999997
31,SolarPV,0.0
31,WindOnshore,0.0
31,HydroPower,1.15024
31,DieselGenerator,0.0
31,Tidal,0.0
31,DieselImport,0.0
31,Forest,0.28797983918000003
31,ElectricStove,0.005573437398000001
31,ElectricVehicle,0.0
31,WoodBurner,0.28797983918000003
32,SolarPV,0.0
32,WindOnshore,0.0
32,HydroPower,1.15024
32,DieselGenerator,0.0
32,Tidal,0.0
32,DieselImport,0.0
32,Forest,0.36469382566
32,ElectricStove,0.013191952428
32,ElectricVehicle,0.0
32,WoodBurner,0.36469382566
33,SolarPV,0.0
33,WindOnshore,0.0
33,HydroPower,1.13568
33,DieselGenerator,0.0
33,Tidal,0.0
33,DieselImport,0.0
33,Forest,0.36732229154000007
33,ElectricStove,0.016319562917999998
33,ElectricVehicle,10.7131505778
33,WoodBurner,0.36732229154000007
34,SolarPV,0.0
34,WindOnshore,0.0
34,HydroPower,1.13568
34,DieselGenerator,0.0
34,Tidal,0.0
34,DieselImport,0.0
34,Forest,0.36619414468
34,ElectricStove,0.015637870374
34,ElectricVehicle,0.0
34,WoodBurner,0.36619414468
35,SolarPV,0.0
35,WindOnshore,0.0
35,HydroPower,1.13568
35,DieselGenerator,0.0
35,Tidal,0.0
35,DieselImport,0.0
35,Forest,0.23746909884
35,ElectricStove,0.005573437398000001
35,ElectricVehicle,0.0
35,WoodBurner,0.23746909884
36,SolarPV,0.0
36,WindOnshore,0.0
36,HydroPower,1.1211200000000001
36,DieselGenerator,0.0
36,Tidal,0.0
36,DieselImport,0.0
36,Forest,0.2399347394
36,ElectricStove,0.015637870374
36,ElectricVehicle,0.0
36,WoodBurner,0.2399347394
37,SolarPV,0.0
37,WindOnshore,0.0
37,HydroPower,1.1211200000000001
37,DieselGenerator,0.0
37,Tidal,0.0
37,DieselImport,0.0
37,Forest,0.23623627855999998
37,ElectricStove,0.01495617783
37,ElectricVehicle,0.0
37,WoodBurner,0.23623627855999998
38,SolarPV,0.0
38,WindOnshore,0.0
38,HydroPower,1.1211200000000001
38,DieselGenerator,0.0
38,Tidal,0.0
38,DieselImport,0.0
38,Forest,0.23870191912000002
38,ElectricStove,0.01495617783
38,ElectricVehicle,0.0
38,WoodBurner,0.23870191912000002
39,SolarPV,0.0
39,WindOnshore,0.0
39,HydroPower,1.1211200000000001
39,DieselGenerator,0.0
39,Tidal,0.0
39,DieselImport,0.0
39,Forest,0.25613585874
39,ElectricStove,0.009382740432
39,ElectricVehicle,0.0
39,WoodBurner,0.25613585874
40,SolarPV,0.0
40,WindOnshore,0.0
40,HydroPower,1.1211200000000001
40,DieselGenerator,0.0
40,Tidal,0.0
40,DieselImport,0.0
40,Forest,0.30001728248000004
