Hour,Storage,Fuel,Value
73,Battery,Heat,0.0
73,Battery,Diesel,0.0
74,Battery,Power,0.55526342
74,Battery,Heat,0.0
74,Battery,Diesel,0.0
75,Battery,Power,0.67047322
75,Battery,Heat,0.0
75,Battery,Diesel,0.0
76,Battery,Power,0.7446688
76,Battery,Heat,0.0
76,Battery,Diesel,0.0
77,Battery,Power,0.80758439
77,Battery,Heat,0.0
77,Battery,Diesel,0.0
78,Battery,Power,0.86705864
78,Battery,Heat,0.0
78,Battery,Diesel,0.0
79,Battery,Power,0.89120466
79,Battery,Heat,0.0
79,Battery,Diesel,0.0
80,Battery,Power,0.91673037
80,Battery,Heat,0.0
80,Battery,Diesel,0.0
81,Battery,Power,0.91546015
81,Battery,Heat,0.0
81,Battery,Diesel,0.0
82,Battery,Power,0.90909041
82,Battery,Heat,0.0
82,Battery,Diesel,0.0
83,Battery,Power,0.92690917
83,Battery,Heat,0.0
83,Battery,Diesel,0.0
84,Battery,Power,0.90952872
84,Battery,Heat,0.0
84,Battery,Diesel,0.0
85,Battery,Power,0.8764561
85,Battery,Heat,0.0
85,Battery,Diesel,0.0
86,Battery,Power,0.88150597
86,Battery,Heat,0.0
86,Battery,Diesel,0.0
87,Battery,Power,0.87247398
87,Battery,Heat,0.0
87,Battery,Diesel,0.0
88,Battery,Power,0.86866015
88,Battery,Heat,0.0
88,Battery,Diesel,0.0
89,Battery,Power,0.87196159
89,Battery,Heat,0.0
89,Battery,Diesel,0.0
90,Battery,Power,0.83256203
90,Battery,Heat,0.0
90,Battery,Diesel,0.0
91,Battery,Power,0.86667835
91,Battery,Heat,0.0
91,Battery,Diesel,0.0
92,Battery,Power,0.8333434
92,Battery,Heat,0.0
92,Battery,Diesel,0.0
93,Battery,Power,0.88082213
93,Battery,Heat,0.0
93,Battery,Diesel,0.0
94,Battery,Power,0.94489701
94,Battery,Heat,0.0
94,Battery,Diesel,0.0
95,Battery,Power,0.9833131
95,Battery,Heat,0.0
95,Battery,Diesel,0.0
96,Battery,Power,0.98352747
96,Battery,Heat,0.0
96,Battery,Diesel,0.0
97,Battery,Power,1.0334841
97,Battery,Heat,0.0
97,Battery,Diesel,0.0
98,Battery,Power,1.0882993
98,Battery,Heat,0.0
98,Battery,Diesel,0.0
99,Battery,Power,1.1529087
99,Battery,Heat,0.0
99,Battery,Diesel,0.0
100,Battery,Power,1.1073943
100,Battery,Heat,0.0
100,Battery,Diesel,0.0
101,Battery,Power,1.01998
101,Battery,Heat,0.0
101,Battery,Diesel,0.0
102,Battery,Power,0.9872334
102,Battery,Heat,0.0
102,Battery,Diesel,0.0
103,Battery,Power,0.92209003
103,Battery,Heat,0.0
103,Battery,Diesel,0.0
104,Battery,Power,0.9506778
104,Battery,Heat,0.0
104,Battery,Diesel,0.0
105,Battery,Power,0.99206212
105,Battery,Heat,0.0
105,Battery,Diesel,0.0
106,Battery,Power,1.0737422
106,Battery,Heat,0.0
106,Battery,Diesel,0.0
107,Battery,Power,1.0432765
107,Battery,Heat,0.0
107,Battery,Diesel,0.0
108,Battery,Power,1.0268685
108,Battery,Heat,0.0
108,Battery,Diesel,0.0
109,Battery,Power,0.96990639
109,Battery,Heat,0.0
109,Battery,Diesel,0.0
110,Battery,Power,0.96990639
110,Battery,Heat,0.0
110,Battery,Diesel,0.0
111,Battery,Power,0.96907115
111,Battery,Heat,0.0
111,Battery,Diesel,0.0
112,Battery,Power,1.0370516
112,Battery,Heat,0.0
112,Battery,Diesel,0.0
113,Battery,Power,1.164228
113,Battery,Heat,0.0
113,Battery,Diesel,0.0
114,Battery,Power,1.2706466
114,Battery,Heat,0.0
114,Battery,Diesel,0.0
115,Battery,Power,1.2854713
115,Battery,Heat,0.0
115,Battery,Diesel,0.0
116,Battery,Power,1.2061168
116,Battery,Heat,0.0
116,Battery,Diesel,0.0
117,Battery,Power,1.1081437
117,Battery,Heat,0.0
117,Battery,Diesel,0.0
118,Battery,Power,1.0648701
118,Battery,Heat,0.0
118,Battery,Diesel,0.0
119,Battery,Power,1.0532962
119,Battery,Heat,0.0
119,Battery,Diesel,0.0
120,Battery,Power,1.086922
120,Battery,Heat,0.0
120,Battery,Diesel,0.0
