Hour,Fuel,Value
84,Gas,105499989.45
85,Diesel,30000253.0
85,FireWood,19999998.0
85,Gas,105499989.45
86,Diesel,30000253.0
86,FireWood,19999998.0
86,Gas,105499989.45
87,Diesel,30000253.0
87,FireWood,19999998.0
87,Gas,105499989.45
88,Diesel,30000253.0
88,FireWood,19999998.0
88,Gas,105499989.45
89,Diesel,30000253.0
89,FireWood,19999998.0
89,Gas,105499989.45
90,Diesel,30000253.0
90,FireWood,19999998.0
90,Gas,105499989.45
91,Diesel,30000253.0
91,FireWood,19999998.0
91,Gas,105499989.45
92,Diesel,30000253.0
92,FireWood,19999998.0
92,Gas,105499989.45
93,Diesel,30000253.0
93,FireWood,19999998.0
93,Gas,105499989.45
94,Diesel,30000253.0
94,FireWood,19999998.0
94,Gas,105499989.45
95,Diesel,30000253.0
95,FireWood,19999998.0
95,Gas,105499989.45
96,Diesel,30000253.0
96,FireWood,19999998.0
96,Gas,105499989.45
97,Diesel,30000253.0
97,FireWood,19999998.0
97,Gas,105499989.45
98,Diesel,30000253.0
98,FireWood,19999998.0
98,Gas,105499989.45
99,Diesel,30000253.0
99,FireWood,19999998.0
99,Gas,105499989.45
100,Diesel,30000253.0
100,FireWood,19999998.0
100,Gas,105499989.45
101,Diesel,30000253.0
101,FireWood,19999998.0
101,Gas,105499989.45
102,Diesel,30000253.0
102,FireWood,19999998.0
102,Gas,105499989.45
103,Diesel,30000253.0
103,FireWood,19999998.0
103,Gas,105499989.45
104,Diesel,30000253.0
104,FireWood,19999998.0
104,Gas,105499989.45
105,Diesel,30000253.0
105,FireWood,19999998.0
105,Gas,105499989.45
106,Diesel,30000253.0
106,FireWood,19999998.0
106,Gas,105499989.45
107,Diesel,30000253.0
107,FireWood,19999998.0
107,Gas,105499989.45
108,Diesel,30000253.0
108,FireWood,19999998.0
108,Gas,105499989.45
109,Diesel,30000253.0
109,FireWood,19999998.0
109,Gas,105499989.45
110,Diesel,30000253.0
110,FireWood,19999998.0
110,Gas,105499989.45
111,Diesel,30000253.0
111,FireWood,19999998.0
111,Gas,105499989.45
112,Diesel,30000253.0
112,FireWood,19999998.0
112,Gas,105499989.45
113,Diesel,30000253.0
113,FireWood,19999998.0
113,Gas,105499989.45
114,Diesel,30000253.0
114,FireWood,19999998.0
114,Gas,105499989.45
115,Diesel,30000253.0
115,FireWood,19999998.0
115,Gas,105499989.45
