year,technology,value
2026,DieselGenerator,76
2026,SolarPV,1000
2026,WindOnshore,1000
2026,HydroPower,112
2028,DieselGenerator,76
2028,SolarPV,1000
2028,WindOnshore,1000
2028,HydroPower,112
2030,DieselGenerator,76
2030,SolarPV,1000
2030,WindOnshore,1000
2030,HydroPower,112
