BAU,2026,750
Sector Coupling,2026,650
Sector Coupling with Energy Efficiency,2026,500
BAU,2028,900
Sector Coupling,2028,350
Sector Coupling with Energy Efficiency,2028,150
BAU,2030,1100
Sector Coupling,2030,50
Sector Coupling with Energy Efficiency,2030,0
