technology,value
SolarPV,0.008
WindOnshore,0.007
HydroPower,0.015
Tidal,0.06
DieselGenerator,0.8
DieselImport,0
Forest,0
GasStove,0
ICEVehicle,0
WoodBurner,0
GasImport,0
