year,fuel,value
2030,Power,336571
2030,Heat,1079788
2030,Mobility,123169
2030,Cooking,121694
2035,Power,352599
2035,Heat,1119622
2035,Mobility,141644.58
2035,Cooking,125339
2040,Power,368626
2040,Heat,1159764
2040,Mobility,162891.267
2040,Cooking,143632
