Year,Hour,Fuel,Value
2026,37,Mobility,-0.0
2026,37,Cooking,-0.0
2026,37,Diesel,-0.0
2026,37,FireWood,-0.0
2026,38,Power,-0.0
2026,38,Heat,-0.0
2026,38,Mobility,-0.0
2026,38,Cooking,-0.0
2026,38,Diesel,-0.0
2026,38,FireWood,-0.0
2026,39,Power,-0.0
2026,39,Heat,-0.0
2026,39,Mobility,-0.0
2026,39,Cooking,-0.0
2026,39,Diesel,-0.0
2026,39,FireWood,-0.0
2026,40,Power,-0.0
2026,40,Heat,-0.0
2026,40,Mobility,-0.0
2026,40,Cooking,-0.0
2026,40,Diesel,-0.0
2026,40,FireWood,-0.0
2026,41,Power,-0.0
2026,41,Heat,-0.0
2026,41,Mobility,-0.0
2026,41,Cooking,-0.0
2026,41,Diesel,-0.0
2026,41,FireWood,-0.0
2026,42,Power,-0.0
2026,42,Heat,-0.0
2026,42,Mobility,-0.0
2026,42,Cooking,-0.0
2026,42,Diesel,-0.0
2026,42,FireWood,-0.0
2026,43,Power,-0.0
2026,43,Heat,-0.0
2026,43,Mobility,-0.0
2026,43,Cooking,-0.0
2026,43,Diesel,-0.0
2026,43,FireWood,-0.0
2026,44,Power,-0.0
2026,44,Heat,-0.0
2026,44,Mobility,-0.0
2026,44,Cooking,-0.0
2026,44,Diesel,-0.0
2026,44,FireWood,-0.0
2026,45,Power,-0.0
2026,45,Heat,-0.0
2026,45,Mobility,-0.0
2026,45,Cooking,-0.0
2026,45,Diesel,-0.0
2026,45,FireWood,-0.0
2026,46,Power,-0.0
2026,46,Heat,-0.0
2026,46,Mobility,-0.0
2026,46,Cooking,-0.0
2026,46,Diesel,-0.0
2026,46,FireWood,-0.0
2026,47,Power,-0.0
2026,47,Heat,-0.0
2026,47,Mobility,-0.0
2026,47,Cooking,-0.0
2026,47,Diesel,-0.0
2026,47,FireWood,-0.0
2026,48,Power,-0.0
2026,48,Heat,-0.0
2026,48,Mobility,-0.0
2026,48,Cooking,-0.0
2026,48,Diesel,-0.0
2026,48,FireWood,-0.0
2026,49,Power,-0.0
2026,49,Heat,-0.0
2026,49,Mobility,-0.0
2026,49,Cooking,-0.0
2026,49,Diesel,-0.0
2026,49,FireWood,-0.0
2026,50,Power,-0.0
2026,50,Heat,-0.0
2026,50,Mobility,-0.0
2026,50,Cooking,-0.0
2026,50,Diesel,-0.0
2026,50,FireWood,-0.0
2026,51,Power,-0.0
2026,51,Heat,-0.0
2026,51,Mobility,-0.0
2026,51,Cooking,-0.0
2026,51,Diesel,-0.0
2026,51,FireWood,-0.0
2026,52,Power,-0.0
2026,52,Heat,-0.0
2026,52,Mobility,-0.0
2026,52,Cooking,-0.0
2026,52,Diesel,-0.0
2026,52,FireWood,-0.0
2026,53,Power,-0.0
2026,53,Heat,-0.0
2026,53,Mobility,-0.0
2026,53,Cooking,-0.0
2026,53,Diesel,-0.0
2026,53,FireWood,-0.0
2026,54,Power,-0.0
2026,54,Heat,-7.105427357601002e-15
2026,54,Mobility,-0.0
2026,54,Cooking,-0.0
2026,54,Diesel,-0.0
2026,54,FireWood,-0.0
2026,55,Power,-0.0
2026,55,Heat,-0.0
2026,55,Mobility,-0.0
2026,55,Cooking,-0.0
2026,55,Diesel,-0.0
2026,55,FireWood,-0.0
2026,56,Power,-0.0
2026,56,Heat,-0.0
2026,56,Mobility,-0.0
2026,56,Cooking,-0.0
2026,56,Diesel,-0.0
2026,56,FireWood,-0.0
2026,57,Power,-0.0
2026,57,Heat,-0.0
2026,57,Mobility,-0.0
2026,57,Cooking,-0.0
2026,57,Diesel,-0.0
2026,57,FireWood,-0.0
2026,58,Power,-0.0
2026,58,Heat,-0.0
2026,58,Mobility,-0.0
2026,58,Cooking,-0.0
2026,58,Diesel,-0.0
2026,58,FireWood,-0.0
2026,59,Power,-0.0
