BAU,2026,0
Sector Coupling,2026,250000
Sector Coupling with Energy Efficiency,2026,150000
BAU,2028,0
Sector Coupling,2028,50000
Sector Coupling with Energy Efficiency,2028,25000
BAU,2030,0
Sector Coupling,2030,800000
Sector Coupling with Energy Efficiency,2030,350000
