year,technology,value
2030,DieselGenerator,64
2030,SolarPV,999999
2030,WindOnshore,999999
2030,HydroPower,112
2030,Tidal,999999
2035,DieselGenerator,64
2035,SolarPV,999999
2035,WindOnshore,999999
2035,HydroPower,112
2035,Tidal,999999
2040,DieselGenerator,64
2040,SolarPV,999999
2040,WindOnshore,999999
2040,HydroPower,112
2040,Tidal,999999
