year,fuel,value
2026,Power,336571
2026,Heat,1079788
2026,Mobility,4869
2026,Cooking,121694
2028,Power,352599
2028,Heat,1119622
2028,Mobility,9243
2028,Cooking,125339
2030,Power,368626
2030,Heat,1159764
2030,Mobility,20336
2030,Cooking,143632
