BAU,2026,4707
Sector Coupling,2026,264895
Sector Coupling with Energy Efficiency,2026,70172
BAU,2028,0
Sector Coupling,2028,0
Sector Coupling with Energy Efficiency,2028,0
BAU,2030,0
Sector Coupling,2030,799638
Sector Coupling with Energy Efficiency,2030,799638
No Tidal,2026,234275
No Tidal,2028,32878
No Tidal,2030,470953
