Hour,Fuel,Value
40,FireWood,-0.0
40,Gas,-0.0
41,Power,-0.0
41,Heat,-0.0
41,Mobility,-0.0
41,Cooking,-0.0
41,Diesel,-0.0
41,FireWood,-0.0
41,Gas,-0.0
42,Power,-0.0
42,Heat,-0.0
42,Mobility,-0.0
42,Cooking,-0.0
42,Diesel,-0.0
42,FireWood,-0.0
42,Gas,-0.0
43,Power,-0.0
43,Heat,-0.0
43,Mobility,-0.0
43,Cooking,-0.0
43,Diesel,-0.0
43,FireWood,-0.0
43,Gas,-0.0
44,Power,-0.0
44,Heat,-0.0
44,Mobility,-0.0
44,Cooking,-0.0
44,Diesel,-0.0
44,FireWood,-0.0
44,Gas,-0.0
45,Power,-0.0
45,Heat,-0.0
45,Mobility,-0.0
45,Cooking,-0.0
45,Diesel,-0.0
45,FireWood,-0.0
45,Gas,-0.0
46,Power,-0.0
46,Heat,-0.0
46,Mobility,-0.0
46,Cooking,-0.0
46,Diesel,-0.0
46,FireWood,-0.0
46,Gas,-0.0
47,Power,-0.0
47,Heat,-0.0
47,Mobility,-0.0
47,Cooking,-0.0
47,Diesel,-0.0
47,FireWood,-0.0
47,Gas,-0.0
48,Power,-0.0
48,Heat,-0.0
48,Mobility,-0.0
48,Cooking,-0.0
48,Diesel,-0.0
48,FireWood,-0.0
48,Gas,-0.0
49,Power,-0.0
49,Heat,-0.0
49,Mobility,-0.0
49,Cooking,-0.0
49,Diesel,-0.0
49,FireWood,-0.0
49,Gas,-0.0
50,Power,-0.0
50,Heat,-0.0
50,Mobility,-0.0
50,Cooking,-0.0
50,Diesel,-0.0
50,FireWood,-0.0
50,Gas,-0.0
51,Power,-0.0
51,Heat,-0.0
51,Mobility,-0.0
51,Cooking,-0.0
51,Diesel,-0.0
51,FireWood,-0.0
51,Gas,-0.0
52,Power,-0.0
52,Heat,-0.0
52,Mobility,-0.0
52,Cooking,-0.0
52,Diesel,-0.0
52,FireWood,-0.0
52,Gas,-0.0
53,Power,-0.0
53,Heat,-0.0
53,Mobility,-0.0
53,Cooking,-0.0
53,Diesel,-0.0
53,FireWood,-0.0
53,Gas,-0.0
54,Power,-0.0
54,Heat,-0.0
54,Mobility,-0.0
54,Cooking,-0.0
54,Diesel,-0.0
54,FireWood,-0.0
54,Gas,-0.0
55,Power,-0.0
55,Heat,-0.0
55,Mobility,-0.0
55,Cooking,-0.0
55,Diesel,-0.0
55,FireWood,-0.0
55,Gas,-0.0
56,Power,-0.0
56,Heat,-0.0
56,Mobility,-0.0
56,Cooking,-0.0
56,Diesel,-0.0
56,FireWood,-0.0
56,Gas,-0.0
57,Power,-0.0
57,Heat,-0.0
57,Mobility,-0.0
57,Cooking,-0.0
57,Diesel,-0.0
57,FireWood,-0.0
57,Gas,-0.0
58,Power,-0.0
58,Heat,-0.0
58,Mobility,-0.0
58,Cooking,-0.0
58,Diesel,-0.0
58,FireWood,-0.0
58,Gas,-0.0
59,Power,-0.0
59,Heat,-0.0
59,Mobility,-0.0
59,Cooking,-0.0
59,Diesel,-0.0
59,FireWood,-0.0
59,Gas,-0.0
60,Power,-0.0
60,Heat,-0.0
60,Mobility,-0.0
60,Cooking,-0.0
60,Diesel,-0.0
60,FireWood,-0.0
60,Gas,-0.0
61,Power,-0.0
61,Heat,-0.0
61,Mobility,-0.0
61,Cooking,-0.0
61,Diesel,-0.0
61,FireWood,-0.0
61,Gas,-0.0
62,Power,-0.0
62,Heat,-0.0
62,Mobility,-0.0
62,Cooking,-0.0
62,Diesel,-0.0
62,FireWood,-0.0
62,Gas,-0.0
63,Power,-0.0
63,Heat,-0.0
63,Mobility,-0.0
63,Cooking,-0.0
63,Diesel,-0.0
63,FireWood,-0.0
63,Gas,-0.0
64,Power,-0.0
64,Heat,-0.0
64,Mobility,-0.0
64,Cooking,-0.0
64,Diesel,-0.0
64,FireWood,-0.0
64,Gas,-0.0
65,Power,-0.0
65,Heat,-0.0
65,Mobility,-0.0
65,Cooking,-0.0
65,Diesel,-0.0
65,FireWood,-0.0
65,Gas,-0.0
66,Power,-0.0
66,Heat,-0.0
66,Mobility,-0.0
66,Cooking,-0.0
66,Diesel,-0.0
66,FireWood,-0.0
66,Gas,-0.0
67,Power,-0.0
67,Heat,-0.0
67,Mobility,-0.0
67,Cooking,-0.0
67,Diesel,-0.0
67,FireWood,-0.0
67,Gas,-0.0
68,Power,-0.0
68,Heat,-0.0
68,Mobility,-0.0
68,Cooking,-0.0
68,Diesel,-0.0
68,FireWood,-0.0
68,Gas,-0.0
69,Power,-0.0
69,Heat,-0.0
69,Mobility,-0.0
69,Cooking,-0.0
69,Diesel,-0.0
