Hour,Technology,Value
67,HydroPower,
67,DieselGenerator,
67,DieselImports,
68,SolarPV,
68,WindOnshore,
68,HydroPower,
68,DieselGenerator,
68,DieselImports,
69,SolarPV,
69,WindOnshore,
69,HydroPower,
69,DieselGenerator,
69,DieselImports,
70,SolarPV,
70,WindOnshore,
70,HydroPower,
70,DieselGenerator,
70,DieselImports,
71,SolarPV,
71,WindOnshore,
71,HydroPower,
71,DieselGenerator,
71,DieselImports,
72,SolarPV,
72,WindOnshore,
72,HydroPower,
72,DieselGenerator,
72,DieselImports,
73,SolarPV,
73,WindOnshore,
73,HydroPower,
73,DieselGenerator,
73,DieselImports,
74,SolarPV,
74,WindOnshore,
74,HydroPower,
74,DieselGenerator,
74,DieselImports,
75,SolarPV,
75,WindOnshore,
75,HydroPower,
75,DieselGenerator,
75,DieselImports,
76,SolarPV,
76,WindOnshore,
76,HydroPower,
76,DieselGenerator,
76,DieselImports,
77,SolarPV,
77,WindOnshore,
77,HydroPower,
77,DieselGenerator,
77,DieselImports,
78,SolarPV,
78,WindOnshore,
78,HydroPower,
78,DieselGenerator,
78,DieselImports,
79,SolarPV,
79,WindOnshore,
79,HydroPower,
79,DieselGenerator,
79,DieselImports,
80,SolarPV,
80,WindOnshore,
80,HydroPower,
80,DieselGenerator,
80,DieselImports,
81,SolarPV,
81,WindOnshore,
81,HydroPower,
81,DieselGenerator,
81,DieselImports,
82,SolarPV,
82,WindOnshore,
82,HydroPower,
82,DieselGenerator,
82,DieselImports,
83,SolarPV,
83,WindOnshore,
83,HydroPower,
83,DieselGenerator,
83,DieselImports,
84,SolarPV,
84,WindOnshore,
84,HydroPower,
84,DieselGenerator,
84,DieselImports,
85,SolarPV,
85,WindOnshore,
85,HydroPower,
85,DieselGenerator,
85,DieselImports,
86,SolarPV,
86,WindOnshore,
86,HydroPower,
86,DieselGenerator,
86,DieselImports,
87,SolarPV,
87,WindOnshore,
87,HydroPower,
87,DieselGenerator,
87,DieselImports,
88,SolarPV,
88,WindOnshore,
88,HydroPower,
88,DieselGenerator,
88,DieselImports,
89,SolarPV,
89,WindOnshore,
89,HydroPower,
89,DieselGenerator,
89,DieselImports,
90,SolarPV,
90,WindOnshore,
90,HydroPower,
90,DieselGenerator,
90,DieselImports,
91,SolarPV,
91,WindOnshore,
91,HydroPower,
91,DieselGenerator,
91,DieselImports,
92,SolarPV,
92,WindOnshore,
92,HydroPower,
92,DieselGenerator,
92,DieselImports,
93,SolarPV,
93,WindOnshore,
93,HydroPower,
93,DieselGenerator,
93,DieselImports,
94,SolarPV,
94,WindOnshore,
94,HydroPower,
94,DieselGenerator,
94,DieselImports,
95,SolarPV,
95,WindOnshore,
95,HydroPower,
95,DieselGenerator,
95,DieselImports,
96,SolarPV,
96,WindOnshore,
96,HydroPower,
96,DieselGenerator,
96,DieselImports,
97,SolarPV,
97,WindOnshore,
97,HydroPower,
97,DieselGenerator,
97,DieselImports,
98,SolarPV,
98,WindOnshore,
98,HydroPower,
98,DieselGenerator,
98,DieselImports,
99,SolarPV,
99,WindOnshore,
99,HydroPower,
99,DieselGenerator,
99,DieselImports,
100,SolarPV,
100,WindOnshore,
100,HydroPower,
100,DieselGenerator,
100,DieselImports,
101,SolarPV,
101,WindOnshore,
101,HydroPower,
101,DieselGenerator,
101,DieselImports,
102,SolarPV,
102,WindOnshore,
102,HydroPower,
102,DieselGenerator,
102,DieselImports,
103,SolarPV,
103,WindOnshore,
103,HydroPower,
103,DieselGenerator,
103,DieselImports,
104,SolarPV,
104,WindOnshore,
104,HydroPower,
104,DieselGenerator,
104,DieselImports,
105,SolarPV,
105,WindOnshore,
105,HydroPower,
105,DieselGenerator,
105,DieselImports,
106,SolarPV,
106,WindOnshore,
106,HydroPower,
106,DieselGenerator,
106,DieselImports,
107,SolarPV,
107,WindOnshore,
107,HydroPower,
107,DieselGenerator,
107,DieselImports,
108,SolarPV,
108,WindOnshore,
108,HydroPower,
108,DieselGenerator,
108,DieselImports,
109,SolarPV,
109,WindOnshore,
109,HydroPower,
109,DieselGenerator,
109,DieselImports,
110,SolarPV,
110,WindOnshore,
110,HydroPower,
110,DieselGenerator,
110,DieselImports,
111,SolarPV,
111,WindOnshore,
111,HydroPower,
111,DieselGenerator,
111,DieselImports,
112,SolarPV,
112,WindOnshore,
112,HydroPower,
112,DieselGenerator,
112,DieselImports,
113,SolarPV,
113,WindOnshore,
113,HydroPower,
113,DieselGenerator,
113,DieselImports,
114,SolarPV,
114,WindOnshore,
114,HydroPower,
114,DieselGenerator,
114,DieselImports,
115,SolarPV,
