Hour,Storage,Fuel,Value
73,LeadAcidBattery,Diesel,0.0
74,LeadAcidBattery,Power,203.92800134836475
74,LeadAcidBattery,Diesel,0.0
75,LeadAcidBattery,Power,210.38618523040475
75,LeadAcidBattery,Diesel,0.0
76,LeadAcidBattery,Power,216.60034104244474
76,LeadAcidBattery,Diesel,0.0
77,LeadAcidBattery,Power,222.43153159444475
77,LeadAcidBattery,Diesel,0.0
78,LeadAcidBattery,Power,227.92404565048474
78,LeadAcidBattery,Diesel,0.0
79,LeadAcidBattery,Power,230.34142883848475
79,LeadAcidBattery,Diesel,0.0
80,LeadAcidBattery,Power,232.04496044452475
80,LeadAcidBattery,Diesel,0.0
81,LeadAcidBattery,Power,229.9842811581611
81,LeadAcidBattery,Diesel,0.0
82,LeadAcidBattery,Power,222.5886999521005
82,LeadAcidBattery,Diesel,0.0
83,LeadAcidBattery,Power,213.54190398240354
83,LeadAcidBattery,Diesel,0.0
84,LeadAcidBattery,Power,215.29620776682353
84,LeadAcidBattery,Diesel,0.0
85,LeadAcidBattery,Power,216.03336551694352
85,LeadAcidBattery,Diesel,0.0
86,LeadAcidBattery,Power,216.47161350822353
86,LeadAcidBattery,Diesel,0.0
87,LeadAcidBattery,Power,209.63226804913262
87,LeadAcidBattery,Diesel,0.0
88,LeadAcidBattery,Power,203.21117528246594
88,LeadAcidBattery,Diesel,0.0
89,LeadAcidBattery,Power,190.90815720367806
89,LeadAcidBattery,Diesel,0.0
90,LeadAcidBattery,Power,165.39317542185987
90,LeadAcidBattery,Diesel,0.0
91,LeadAcidBattery,Power,144.8781941021629
91,LeadAcidBattery,Diesel,0.0
92,LeadAcidBattery,Power,163.45368550916288
92,LeadAcidBattery,Diesel,0.0
93,LeadAcidBattery,Power,144.87810779098106
93,LeadAcidBattery,Diesel,0.0
94,LeadAcidBattery,Power,148.08923027698106
94,LeadAcidBattery,Diesel,0.0
95,LeadAcidBattery,Power,128.0363645375871
95,LeadAcidBattery,Diesel,0.0
96,LeadAcidBattery,Power,125.49844523910225
96,LeadAcidBattery,Diesel,0.0
97,LeadAcidBattery,Power,128.42818140714226
97,LeadAcidBattery,Diesel,0.0
98,LeadAcidBattery,Power,134.82470353914226
98,LeadAcidBattery,Diesel,0.0
99,LeadAcidBattery,Power,141.64242216510226
99,LeadAcidBattery,Diesel,0.0
100,LeadAcidBattery,Power,148.61298570306226
100,LeadAcidBattery,Diesel,0.0
101,LeadAcidBattery,Power,154.34517625110226
101,LeadAcidBattery,Diesel,0.0
102,LeadAcidBattery,Power,161.07780259110226
102,LeadAcidBattery,Diesel,0.0
103,LeadAcidBattery,Power,165.67928332110225
103,LeadAcidBattery,Diesel,0.0
104,LeadAcidBattery,Power,161.1719382665568
104,LeadAcidBattery,Diesel,0.0
105,LeadAcidBattery,Power,153.65689292110224
105,LeadAcidBattery,Diesel,0.0
106,LeadAcidBattery,Power,131.0919080877689
106,LeadAcidBattery,Diesel,0.0
107,LeadAcidBattery,Power,142.1286196897289
107,LeadAcidBattery,Diesel,0.0
108,LeadAcidBattery,Power,134.3847313836683
108,LeadAcidBattery,Diesel,0.0
109,LeadAcidBattery,Power,130.48474715791073
109,LeadAcidBattery,Diesel,0.0
110,LeadAcidBattery,Power,124.73180514124408
110,LeadAcidBattery,Diesel,0.0
111,LeadAcidBattery,Power,124.73180514124408
111,LeadAcidBattery,Diesel,0.0
112,LeadAcidBattery,Power,124.73180514124408
112,LeadAcidBattery,Diesel,0.0
113,LeadAcidBattery,Power,118.76963990488045
113,LeadAcidBattery,Diesel,0.0
114,LeadAcidBattery,Power,82.17885109730469
114,LeadAcidBattery,Diesel,0.0
115,LeadAcidBattery,Power,80.28821192783772
115,LeadAcidBattery,Diesel,0.0
116,LeadAcidBattery,Power,54.88835008847387
116,LeadAcidBattery,Diesel,0.0
117,LeadAcidBattery,Power,23.373424564231435
117,LeadAcidBattery,Diesel,0.0
118,LeadAcidBattery,Power,10.785795449309944
118,LeadAcidBattery,Diesel,0.0
119,LeadAcidBattery,Power,2.198088634388454
119,LeadAcidBattery,Diesel,0.0
120,LeadAcidBattery,Power,0.3680227831033211
120,LeadAcidBattery,Diesel,0.0
121,LeadAcidBattery,Power,0.0
121,LeadAcidBattery,Diesel,0.0
122,LeadAcidBattery,Power,0.0
122,LeadAcidBattery,Diesel,0.0
123,LeadAcidBattery,Power,0.0
123,LeadAcidBattery,Diesel,0.0
124,LeadAcidBattery,Power,0.0
124,LeadAcidBattery,Diesel,0.0
125,LeadAcidBattery,Power,0.0
125,LeadAcidBattery,Diesel,0.0
126,LeadAcidBattery,Power,0.0
126,LeadAcidBattery,Diesel,0.0
127,LeadAcidBattery,Power,0.0
127,LeadAcidBattery,Diesel,0.0
128,LeadAcidBattery,Power,14.958516147960003
128,LeadAcidBattery,Diesel,0.0
129,LeadAcidBattery,Power,27.52974351996
129,LeadAcidBattery,Diesel,0.0
130,LeadAcidBattery,Power,7.993627545717576
130,LeadAcidBattery,Diesel,0.0
131,LeadAcidBattery,Power,15.513620363637571
131,LeadAcidBattery,Diesel,0.0
132,LeadAcidBattery,Power,33.270298821177576
132,LeadAcidBattery,Diesel,0.0
133,LeadAcidBattery,Power,53.85464664726453
133,LeadAcidBattery,Diesel,0.0
134,LeadAcidBattery,Power,74.43899447335149
134,LeadAcidBattery,Diesel,0.0
135,LeadAcidBattery,Power,67.97866855213935
135,LeadAcidBattery,Diesel,0.0
136,LeadAcidBattery,Power,48.56523418395753
136,LeadAcidBattery,Diesel,0.0
137,LeadAcidBattery,Power,33.70937792941207
