Year,Hour,Fuel,Value
2030,36,Cooking,-0.0
2030,36,Diesel,-0.0
2030,36,FireWood,-0.0
2030,37,Power,-0.0
2030,37,Heat,-0.0
2030,37,Mobility,-0.0
2030,37,Cooking,-0.0
2030,37,Diesel,-0.0
2030,37,FireWood,-0.0
2030,38,Power,-0.0
2030,38,Heat,-0.0
2030,38,Mobility,-0.0
2030,38,Cooking,-0.0
2030,38,Diesel,-0.0
2030,38,FireWood,-0.0
2030,39,Power,-0.0
2030,39,Heat,-0.0
2030,39,Mobility,-0.0
2030,39,Cooking,-0.0
2030,39,Diesel,-0.0
2030,39,FireWood,-0.0
2030,40,Power,-0.0
2030,40,Heat,-0.0
2030,40,Mobility,-0.0
2030,40,Cooking,-0.0
2030,40,Diesel,-0.0
2030,40,FireWood,-0.0
2030,41,Power,-0.0
2030,41,Heat,-0.0
2030,41,Mobility,-0.0
2030,41,Cooking,-0.0
2030,41,Diesel,-0.0
2030,41,FireWood,-0.0
2030,42,Power,-0.0
2030,42,Heat,-0.0
2030,42,Mobility,-0.0
2030,42,Cooking,-0.0
2030,42,Diesel,-0.0
2030,42,FireWood,-0.0
2030,43,Power,-0.0
2030,43,Heat,-0.0
2030,43,Mobility,-0.0
2030,43,Cooking,-0.0
2030,43,Diesel,-0.0
2030,43,FireWood,-0.0
2030,44,Power,-0.0
2030,44,Heat,-0.0
2030,44,Mobility,-0.0
2030,44,Cooking,-0.0
2030,44,Diesel,-0.0
2030,44,FireWood,-0.0
2030,45,Power,-7.105427357601002e-15
2030,45,Heat,-0.0
2030,45,Mobility,-0.0
2030,45,Cooking,-0.0
2030,45,Diesel,-0.0
2030,45,FireWood,-0.0
2030,46,Power,-0.0
2030,46,Heat,-0.0
2030,46,Mobility,-0.0
2030,46,Cooking,-0.0
2030,46,Diesel,-0.0
2030,46,FireWood,-0.0
2030,47,Power,-0.0
2030,47,Heat,-0.0
2030,47,Mobility,-0.0
2030,47,Cooking,-0.0
2030,47,Diesel,-0.0
2030,47,FireWood,-0.0
2030,48,Power,-0.0
2030,48,Heat,-0.0
2030,48,Mobility,-0.0
2030,48,Cooking,-0.0
2030,48,Diesel,-0.0
2030,48,FireWood,-0.0
2030,49,Power,-0.0
2030,49,Heat,-0.0
2030,49,Mobility,-0.0
2030,49,Cooking,-0.0
2030,49,Diesel,-0.0
2030,49,FireWood,-0.0
2030,50,Power,-4.440892098500626e-16
2030,50,Heat,-0.0
2030,50,Mobility,-0.0
2030,50,Cooking,-0.0
2030,50,Diesel,-0.0
2030,50,FireWood,-0.0
2030,51,Power,-0.0
2030,51,Heat,-0.0
2030,51,Mobility,-0.0
2030,51,Cooking,-0.0
2030,51,Diesel,-0.0
2030,51,FireWood,-0.0
2030,52,Power,-4.440892098500626e-16
2030,52,Heat,-0.0
2030,52,Mobility,-0.0
2030,52,Cooking,-0.0
2030,52,Diesel,-0.0
2030,52,FireWood,-0.0
2030,53,Power,-0.0
2030,53,Heat,-0.0
2030,53,Mobility,-0.0
2030,53,Cooking,-0.0
2030,53,Diesel,-0.0
2030,53,FireWood,-0.0
2030,54,Power,-4.440892098500626e-16
2030,54,Heat,-0.0
2030,54,Mobility,-0.0
2030,54,Cooking,-0.0
2030,54,Diesel,-0.0
2030,54,FireWood,-0.0
2030,55,Power,-1.7763568394002505e-15
2030,55,Heat,-0.0
2030,55,Mobility,-0.0
2030,55,Cooking,-0.0
2030,55,Diesel,-0.0
2030,55,FireWood,-0.0
2030,56,Power,-0.0
2030,56,Heat,-0.0
2030,56,Mobility,-0.0
2030,56,Cooking,-0.0
2030,56,Diesel,-0.0
2030,56,FireWood,-0.0
2030,57,Power,-7.105427357601002e-15
2030,57,Heat,-0.0
2030,57,Mobility,-0.0
2030,57,Cooking,-0.0
2030,57,Diesel,-0.0
2030,57,FireWood,-0.0
2030,58,Power,-1.2045919817182948e-14
