year,technology,value
2021,DieselGenerator,80
2021,SolarPV,200
2021,WindOnshore,24
2021,HydroPower,112
2021,Tidal,0
2030,DieselGenerator,80
2030,SolarPV,375
2030,WindOnshore,311.2
2030,HydroPower,112
2030,Tidal,0
2035,DieselGenerator,80
2035,SolarPV,375
2035,WindOnshore,311.2
2035,HydroPower,112
2035,Tidal,0
2040,DieselGenerator,80
2040,SolarPV,375
2040,WindOnshore,311.2
2040,HydroPower,112
2040,Tidal,500
