Hour,Technology,Value
35,GasImport,
35,GasStove,
35,ICEVehicle,
35,WoodBurner,
36,SolarPV,
36,WindOnshore,
36,HydroPower,
36,DieselGenerator,
36,DieselImport,
36,Forest,
36,GasImport,
36,GasStove,
36,ICEVehicle,
36,WoodBurner,
37,SolarPV,
37,WindOnshore,
37,HydroPower,
37,DieselGenerator,
37,DieselImport,
37,Forest,
37,GasImport,
37,GasStove,
37,ICEVehicle,
37,WoodBurner,
38,SolarPV,
38,WindOnshore,
38,HydroPower,
38,DieselGenerator,
38,DieselImport,
38,Forest,
38,GasImport,
38,GasStove,
38,ICEVehicle,
38,WoodBurner,
39,SolarPV,
39,WindOnshore,
39,HydroPower,
39,DieselGenerator,
39,DieselImport,
39,Forest,
39,GasImport,
39,GasStove,
39,ICEVehicle,
39,WoodBurner,
40,SolarPV,
40,WindOnshore,
40,HydroPower,
40,DieselGenerator,
40,DieselImport,
40,Forest,
40,GasImport,
40,GasStove,
40,ICEVehicle,
40,WoodBurner,
41,SolarPV,
41,WindOnshore,
41,HydroPower,
41,DieselGenerator,
41,DieselImport,
41,Forest,
41,GasImport,
41,GasStove,
41,ICEVehicle,
41,WoodBurner,
42,SolarPV,
42,WindOnshore,
42,HydroPower,
42,DieselGenerator,
42,DieselImport,
42,Forest,
42,GasImport,
42,GasStove,
42,ICEVehicle,
42,WoodBurner,
43,SolarPV,
43,WindOnshore,
43,HydroPower,
43,DieselGenerator,
43,DieselImport,
43,Forest,
43,GasImport,
43,GasStove,
43,ICEVehicle,
43,WoodBurner,
44,SolarPV,
44,WindOnshore,
44,HydroPower,
44,DieselGenerator,
44,DieselImport,
44,Forest,
44,GasImport,
44,GasStove,
44,ICEVehicle,
44,WoodBurner,
45,SolarPV,
45,WindOnshore,
45,HydroPower,
45,DieselGenerator,
45,DieselImport,
45,Forest,
45,GasImport,
45,GasStove,
45,ICEVehicle,
45,WoodBurner,
46,SolarPV,
46,WindOnshore,
46,HydroPower,
46,DieselGenerator,
46,DieselImport,
46,Forest,
46,GasImport,
46,GasStove,
46,ICEVehicle,
46,WoodBurner,
47,SolarPV,
47,WindOnshore,
47,HydroPower,
47,DieselGenerator,
47,DieselImport,
47,Forest,
47,GasImport,
47,GasStove,
47,ICEVehicle,
47,WoodBurner,
48,SolarPV,
48,WindOnshore,
48,HydroPower,
48,DieselGenerator,
48,DieselImport,
48,Forest,
48,GasImport,
48,GasStove,
48,ICEVehicle,
48,WoodBurner,
49,SolarPV,
49,WindOnshore,
49,HydroPower,
49,DieselGenerator,
49,DieselImport,
49,Forest,
49,GasImport,
49,GasStove,
49,ICEVehicle,
49,WoodBurner,
50,SolarPV,
50,WindOnshore,
50,HydroPower,
50,DieselGenerator,
50,DieselImport,
50,Forest,
50,GasImport,
50,GasStove,
50,ICEVehicle,
50,WoodBurner,
51,SolarPV,
51,WindOnshore,
51,HydroPower,
51,DieselGenerator,
51,DieselImport,
51,Forest,
51,GasImport,
51,GasStove,
51,ICEVehicle,
51,WoodBurner,
52,SolarPV,
52,WindOnshore,
52,HydroPower,
52,DieselGenerator,
52,DieselImport,
52,Forest,
52,GasImport,
52,GasStove,
52,ICEVehicle,
52,WoodBurner,
53,SolarPV,
53,WindOnshore,
53,HydroPower,
53,DieselGenerator,
53,DieselImport,
53,Forest,
53,GasImport,
53,GasStove,
53,ICEVehicle,
53,WoodBurner,
54,SolarPV,
54,WindOnshore,
54,HydroPower,
54,DieselGenerator,
54,DieselImport,
54,Forest,
54,GasImport,
54,GasStove,
54,ICEVehicle,
54,WoodBurner,
55,SolarPV,
55,WindOnshore,
55,HydroPower,
55,DieselGenerator,
55,DieselImport,
55,Forest,
55,GasImport,
55,GasStove,
55,ICEVehicle,
55,WoodBurner,
56,SolarPV,
56,WindOnshore,
56,HydroPower,
56,DieselGenerator,
56,DieselImport,
56,Forest,
56,GasImport,
56,GasStove,
56,ICEVehicle,
56,WoodBurner,
57,SolarPV,
57,WindOnshore,
57,HydroPower,
57,DieselGenerator,
57,DieselImport,
57,Forest,
57,GasImport,
57,GasStove,
57,ICEVehicle,
57,WoodBurner,
58,SolarPV,
58,WindOnshore,
58,HydroPower,
58,DieselGenerator,
58,DieselImport,
58,Forest,
58,GasImport,
58,GasStove,
58,ICEVehicle,
58,WoodBurner,
59,SolarPV,
59,WindOnshore,
59,HydroPower,
59,DieselGenerator,
59,DieselImport,
59,Forest,
59,GasImport,
59,GasStove,
59,ICEVehicle,
59,WoodBurner,
60,SolarPV,
60,WindOnshore,
60,HydroPower,
60,DieselGenerator,
60,DieselImport,
60,Forest,
60,GasImport,
60,GasStove,
60,ICEVehicle,
60,WoodBurner,
61,SolarPV,
61,WindOnshore,
61,HydroPower,
61,DieselGenerator,
61,DieselImport,
61,Forest,
61,GasImport,
61,GasStove,
61,ICEVehicle,
61,WoodBurner,
62,SolarPV,
62,WindOnshore,
62,HydroPower,
62,DieselGenerator,
62,DieselImport,
62,Forest,
62,GasImport,
62,GasStove,
62,ICEVehicle,
62,WoodBurner,
63,SolarPV,
63,WindOnshore,
63,HydroPower,
63,DieselGenerator,
63,DieselImport,
63,Forest,
63,GasImport,
63,GasStove,
63,ICEVehicle,
63,WoodBurner,
64,SolarPV,
64,WindOnshore,
64,HydroPower,
64,DieselGenerator,
64,DieselImport,
64,Forest,
64,GasImport,
64,GasStove,
64,ICEVehicle,
64,WoodBurner,
65,SolarPV,
65,WindOnshore,
65,HydroPower,
