Hour,Storage,Fuel,Value
22,LeadAcidBattery,FireWood,0.0
22,LeadAcidBattery,Gas,0.0
23,LeadAcidBattery,Power,272.83529389576006
23,LeadAcidBattery,Heat,0.0
23,LeadAcidBattery,Mobility,0.0
23,LeadAcidBattery,Cooking,0.0
23,LeadAcidBattery,Diesel,0.0
23,LeadAcidBattery,FireWood,0.0
23,LeadAcidBattery,Gas,0.0
24,LeadAcidBattery,Power,272.83529389576006
24,LeadAcidBattery,Heat,0.0
24,LeadAcidBattery,Mobility,0.0
24,LeadAcidBattery,Cooking,0.0
24,LeadAcidBattery,Diesel,0.0
24,LeadAcidBattery,FireWood,0.0
24,LeadAcidBattery,Gas,0.0
25,LeadAcidBattery,Power,272.83529389576006
25,LeadAcidBattery,Heat,0.0
25,LeadAcidBattery,Mobility,0.0
25,LeadAcidBattery,Cooking,0.0
25,LeadAcidBattery,Diesel,0.0
25,LeadAcidBattery,FireWood,0.0
25,LeadAcidBattery,Gas,0.0
26,LeadAcidBattery,Power,274.6824545302401
26,LeadAcidBattery,Heat,0.0
26,LeadAcidBattery,Mobility,0.0
26,LeadAcidBattery,Cooking,0.0
26,LeadAcidBattery,Diesel,0.0
26,LeadAcidBattery,FireWood,0.0
26,LeadAcidBattery,Gas,0.0
27,LeadAcidBattery,Power,276.4933033557601
27,LeadAcidBattery,Heat,0.0
27,LeadAcidBattery,Mobility,0.0
27,LeadAcidBattery,Cooking,0.0
27,LeadAcidBattery,Diesel,0.0
27,LeadAcidBattery,FireWood,0.0
27,LeadAcidBattery,Gas,0.0
28,LeadAcidBattery,Power,278.8971392612801
28,LeadAcidBattery,Heat,0.0
28,LeadAcidBattery,Mobility,0.0
28,LeadAcidBattery,Cooking,0.0
28,LeadAcidBattery,Diesel,0.0
28,LeadAcidBattery,FireWood,0.0
28,LeadAcidBattery,Gas,0.0
29,LeadAcidBattery,Power,282.61927362576006
29,LeadAcidBattery,Heat,0.0
29,LeadAcidBattery,Mobility,0.0
29,LeadAcidBattery,Cooking,0.0
