Hour,Fuel,Value
344,Gas,11.731247718
345,Gas,14.566626228
346,Gas,14.177074626000001
347,Gas,5.281296456
348,Gas,14.177074626000001
349,Gas,13.787614062000001
350,Gas,13.787614062000001
351,Gas,8.506226568
352,Gas,3.614481714
353,Gas,2.83537851
354,Gas,12.496877298000001
355,Gas,24.153564894
356,Gas,24.153564894
357,Gas,23.489988911999998
358,Gas,10.32507477
359,Gas,4.830749394
366,Gas,3.12761049
367,Gas,5.573437398
368,Gas,13.191952428
369,Gas,16.319562918
370,Gas,15.637870374
371,Gas,5.573437398
372,Gas,15.637870374
373,Gas,14.95617783
374,Gas,14.95617783
375,Gas,9.382740432
376,Gas,4.490995578
377,Gas,3.12761049
378,Gas,13.784518770000002
379,Gas,26.642270699999997
380,Gas,26.642270699999997
381,Gas,25.480898934000002
382,Gas,11.818280046
383,Gas,5.32845414
390,Gas,2.83537851
391,Gas,5.281296456
392,Gas,11.731247718
393,Gas,14.566626228
394,Gas,14.177074626000001
395,Gas,5.281296456
396,Gas,14.177074626000001
397,Gas,13.787614062000001
398,Gas,13.787614062000001
399,Gas,8.506226568
400,Gas,3.614481714
401,Gas,2.83537851
402,Gas,12.496877298000001
403,Gas,24.153564894
404,Gas,24.153564894
405,Gas,23.489988911999998
406,Gas,10.32507477
407,Gas,4.830749394
414,Gas,3.12761049
415,Gas,5.573437398
416,Gas,13.191952428
417,Gas,16.319562918
418,Gas,15.637870374
419,Gas,5.573437398
420,Gas,15.637870374
421,Gas,14.95617783
422,Gas,14.95617783
423,Gas,9.382740432
424,Gas,4.490995578
425,Gas,3.12761049
426,Gas,13.784518770000002
427,Gas,26.642270699999997
428,Gas,26.642270699999997
429,Gas,25.480898934000002
430,Gas,11.818280046
431,Gas,5.32845414
438,Gas,2.83537851
439,Gas,5.281296456
440,Gas,11.731247718
441,Gas,14.566626228
442,Gas,14.177074626000001
443,Gas,5.281296456
444,Gas,14.177074626000001
445,Gas,13.787614062000001
446,Gas,13.787614062000001
447,Gas,8.506226568
448,Gas,3.614481714
449,Gas,2.83537851
450,Gas,12.496877298000001
451,Gas,24.153564894
452,Gas,24.153564894
453,Gas,23.489988911999998
454,Gas,10.32507477
455,Gas,4.830749394
462,Gas,3.12761049
463,Gas,5.573437398
464,Gas,13.191952428
465,Gas,16.319562918
466,Gas,15.637870374
467,Gas,5.573437398
468,Gas,15.637870374
469,Gas,14.95617783
470,Gas,14.95617783
471,Gas,9.382740432
472,Gas,4.490995578
473,Gas,3.12761049
474,Gas,13.784518770000002
475,Gas,26.642270699999997
476,Gas,26.642270699999997
477,Gas,25.480898934000002
478,Gas,11.818280046
479,Gas,5.32845414
486,Gas,3.12761049
487,Gas,5.573437398
488,Gas,13.191952428
489,Gas,16.319562918
490,Gas,15.637870374
491,Gas,5.573437398
492,Gas,15.637870374
493,Gas,14.95617783
494,Gas,14.95617783
495,Gas,9.382740432
496,Gas,4.490995578
497,Gas,3.12761049
498,Gas,13.784518770000002
499,Gas,26.642270699999997
500,Gas,26.642270699999997
501,Gas,25.480898934000002
502,Gas,11.818280046
503,Gas,5.32845414
510,Gas,2.83537851
511,Gas,5.281296456
512,Gas,11.731247718
513,Gas,14.566626228
514,Gas,14.177074626000001
515,Gas,5.281296456
516,Gas,14.177074626000001
517,Gas,13.787614062000001
518,Gas,13.787614062000001
519,Gas,8.506226568
520,Gas,3.614481714
521,Gas,2.83537851
522,Gas,12.496877298000001
523,Gas,24.153564894
524,Gas,24.153564894
525,Gas,23.489988911999998
526,Gas,10.32507477
527,Gas,4.830749394
534,Gas,3.12761049
535,Gas,5.573437398
536,Gas,13.191952428
537,Gas,16.319562918
538,Gas,15.637870374
539,Gas,5.573437398
540,Gas,15.637870374
541,Gas,14.95617783
542,Gas,14.95617783
543,Gas,9.382740432
544,Gas,4.490995578
545,Gas,3.12761049
546,Gas,13.784518770000002
547,Gas,26.642270699999997
548,Gas,26.642270699999997
549,Gas,25.480898934000002
550,Gas,11.818280046
551,Gas,5.32845414
558,Gas,2.83537851
559,Gas,5.281296456
560,Gas,11.731247718
561,Gas,14.566626228
562,Gas,14.177074626000001
563,Gas,5.281296456
564,Gas,14.177074626000001
565,Gas,13.787614062000001
566,Gas,13.787614062000001
567,Gas,8.506226568
568,Gas,3.614481714
569,Gas,2.83537851
570,Gas,12.496877298000001
571,Gas,24.153564894
572,Gas,24.153564894
573,Gas,23.489988911999998
574,Gas,10.32507477
575,Gas,4.830749394
582,Gas,3.12761049
583,Gas,5.573437398
584,Gas,13.191952428
585,Gas,16.319562918
586,Gas,15.637870374
587,Gas,5.573437398
588,Gas,15.637870374
589,Gas,14.95617783
590,Gas,14.95617783
591,Gas,9.382740432
592,Gas,4.490995578
593,Gas,3.12761049
594,Gas,13.784518770000002
595,Gas,26.642270699999997
596,Gas,26.642270699999997
597,Gas,25.480898934000002
598,Gas,11.818280046
599,Gas,5.32845414
606,Gas,2.83537851
607,Gas,5.281296456
608,Gas,11.731247718
609,Gas,14.566626228
610,Gas,14.177074626000001
611,Gas,5.281296456
612,Gas,14.177074626000001
613,Gas,13.787614062000001
614,Gas,13.787614062000001
615,Gas,8.506226568
616,Gas,3.614481714
617,Gas,2.83537851
618,Gas,12.496877298000001
619,Gas,24.153564894
620,Gas,24.153564894
