Hour,Fuel,Value
37,Cooking,-0.0
37,Diesel,-999991.96146
37,FireWood,-999825.16492988
37,Gas,-999983.52354
38,Power,-0.0
38,Heat,-0.0
38,Mobility,-0.0
38,Cooking,-0.0
38,Diesel,-999989.61528
38,FireWood,-999831.68145046
38,Gas,-999983.52354
39,Power,-0.0
39,Heat,-0.0
39,Mobility,-0.0
39,Cooking,-0.0
39,Diesel,-999996.65382
39,FireWood,-999827.18413344
39,Gas,-999989.8962
40,Power,-0.0
40,Heat,-0.0
40,Mobility,-0.0
40,Cooking,-0.0
40,Diesel,-999989.61528
40,FireWood,-999737.8802669
40,Gas,-999994.4481
41,Power,-0.0
41,Heat,-0.0
41,Mobility,-0.0
41,Cooking,-0.0
41,Diesel,-999975.5382
41,FireWood,-999742.10223798
41,Gas,-999996.26886
42,Power,-0.0
42,Heat,-0.0
42,Mobility,-0.0
42,Cooking,-0.0
42,Diesel,-999987.2691
42,FireWood,-999743.3871857
42,Gas,-999985.3443
43,Power,-0.0
43,Heat,-0.0
43,Mobility,-0.0
43,Cooking,-0.0
43,Diesel,-999987.2691
43,FireWood,-999750.91330806
43,Gas,-999971.6886
44,Power,-0.0
44,Heat,-0.0
44,Mobility,-0.0
44,Cooking,-0.0
44,Diesel,-999977.88438
44,FireWood,-999735.95284532
44,Gas,-999971.6886
45,Power,-0.0
45,Heat,-0.0
45,Mobility,-0.0
45,Cooking,-0.0
45,Diesel,-999986.09601
45,FireWood,-999751.92290984
45,Gas,-999973.50936
46,Power,-0.0
46,Heat,-0.0
46,Mobility,-0.0
46,Cooking,-0.0
46,Diesel,-999980.23056
46,FireWood,-999733.38294988
46,Gas,-999987.16506
47,Power,-0.0
47,Heat,-0.0
47,Mobility,-0.0
47,Cooking,-0.0
47,Diesel,-999990.78837
47,FireWood,-999829.84581086
47,Gas,-999993.53772
48,Power,-0.0
48,Heat,-0.0
48,Mobility,-0.0
48,Cooking,-0.0
48,Diesel,-999991.96146
48,FireWood,-999837.64727916
48,Gas,-999999.0
49,Power,-0.0
49,Heat,-0.0
49,Mobility,-0.0
49,Cooking,-0.0
49,Diesel,-999994.30764
49,FireWood,-999907.58514792
49,Gas,-999999.0
50,Power,-5.848400000000002
50,Heat,-0.0
50,Mobility,-0.0
50,Cooking,-0.0
50,Diesel,-999997.82691
50,FireWood,-999907.12623802
50,Gas,-999999.0
51,Power,-7.642350000000004
51,Heat,-0.0
51,Mobility,-0.0
51,Cooking,-0.0
51,Diesel,-999993.13455
51,FireWood,-999911.71533702
51,Gas,-999999.0
52,Power,-0.0
52,Heat,-0.0
52,Mobility,-0.0
52,Cooking,-0.0
52,Diesel,-999997.82691
52,FireWood,-999912.81672078
52,Gas,-999999.0
53,Power,-0.0
53,Heat,-0.0
53,Mobility,-0.0
53,Cooking,-0.0
53,Diesel,-999987.2691
53,FireWood,-999818.37306336
53,Gas,-999999.0
54,Power,-0.0
54,Heat,-0.0
54,Mobility,-0.0
54,Cooking,-0.0
54,Diesel,-999982.57674
54,FireWood,-999819.38266514
54,Gas,-999996.26886
55,Power,-0.0
55,Heat,-0.0
55,Mobility,-0.0
55,Cooking,-0.0
55,Diesel,-999984.92292
55,FireWood,-999818.28128138
55,Gas,-999993.53772
56,Power,-0.5824499999999944
56,Heat,-0.0
56,Mobility,-0.0
56,Cooking,-0.0
56,Diesel,-999995.48073
56,FireWood,-999861.41881198
56,Gas,-999987.16506
57,Power,-0.0
57,Heat,-0.0
57,Mobility,-0.0
57,Cooking,-0.0
57,Diesel,-999987.2691
57,FireWood,-999864.0804894
57,Gas,-999984.43392
58,Power,-0.0
58,Heat,-0.0
58,Mobility,-0.0
58,Cooking,-0.0
58,Diesel,-999986.09601
58,FireWood,-999860.8681201
58,Gas,-999984.43392
59,Power,-0.0
59,Heat,-0.0
59,Mobility,-0.0
59,Cooking,-0.0
59,Diesel,-999977.88438
59,FireWood,-999913.27563068
59,Gas,-999993.53772
60,Power,-7.782499999999999
60,Heat,-0.0
60,Mobility,-0.0
60,Cooking,-0.0
60,Diesel,-999993.13455
60,FireWood,-999912.63315682
60,Gas,-999984.43392
61,Power,-0.0
61,Heat,-0.0
61,Mobility,-0.0
61,Cooking,-0.0
61,Diesel,-999991.96146
61,FireWood,-999915.57018018
61,Gas,-999984.43392
62,Power,-0.0
62,Heat,-0.0
62,Mobility,-0.0
62,Cooking,-0.0
62,Diesel,-999989.61528
62,FireWood,-999912.63315682
62,Gas,-999984.43392
63,Power,-0.0
63,Heat,-0.0
63,Mobility,-0.0
63,Cooking,-0.0
63,Diesel,-999996.65382
63,FireWood,-999910.24682534
63,Gas,-999989.8962
64,Power,-0.0
64,Heat,-0.0
64,Mobility,-0.0
64,Cooking,-0.0
64,Diesel,-999989.61528
64,FireWood,-999822.41147048
64,Gas,-999995.35848
65,Power,-0.0
65,Heat,-0.0
65,Mobility,-0.0
65,Cooking,-0.0
65,Diesel,-999975.5382
65,FireWood,-999820.75939484
65,Gas,-999996.26886
66,Power,-0.0
66,Heat,-0.0
66,Mobility,-0.0
66,Cooking,-0.0
66,Diesel,-999971.8578
66,FireWood,-999821.49365068
66,Gas,-999986.25468
67,Power,-0.0
67,Heat,-0.0
67,Mobility,-0.0
67,Cooking,-0.0
67,Diesel,-999978.1097
67,FireWood,-999864.0804894
67,Gas,-999974.41974
68,Power,-0.0
68,Heat,-0.0
68,Mobility,-0.0
68,Cooking,-0.0
68,Diesel,-999967.70898
68,FireWood,-999861.87772188
68,Gas,-999974.41974
69,Power,-0.0
69,Heat,-0.0
69,Mobility,-0.0
69,Cooking,-0.0
69,Diesel,-999986.09601
69,FireWood,-999866.55860286
69,Gas,-999975.33012
70,Power,-0.0
70,Heat,-0.0
70,Mobility,-0.0
70,Cooking,-0.0
70,Diesel,-999980.23056
70,FireWood,-999867.7517686
70,Gas,-999988.98582
71,Power,-0.0
71,Heat,-0.0
71,Mobility,-0.0
71,Cooking,-0.0
71,Diesel,-999975.2670199999
71,FireWood,-999914.92770632
71,Gas,-999994.4481
72,Power,-0.0
72,Heat,-0.0
72,Mobility,-0.0
72,Cooking,-0.0
72,Diesel,-999979.37006
72,FireWood,-999914.37701444
72,Gas,-999999.0
73,Power,-0.0
73,Heat,-0.0
73,Mobility,-0.0
73,Cooking,-0.0
73,Diesel,-999987.79214
73,FireWood,-999905.74950832
73,Gas,-999999.0
74,Power,-0.0
74,Heat,-0.0
74,Mobility,-0.0
74,Cooking,-0.0
74,Diesel,-999997.82691
74,FireWood,-999908.5947497
74,Gas,-999999.0
75,Power,-0.0
75,Heat,-0.0
75,Mobility,-0.0
75,Cooking,-0.0
75,Diesel,-999993.13455
75,FireWood,-999905.3823804
75,Gas,-999999.0
76,Power,-0.0
76,Heat,-0.0
76,Mobility,-0.0
76,Cooking,-0.0
76,Diesel,-999997.82691
76,FireWood,-999905.10703446
76,Gas,-999999.0
77,Power,-0.0
77,Heat,-0.0
77,Mobility,-0.0
77,Cooking,-0.0
77,Diesel,-999987.2691
77,FireWood,-999815.71138594
77,Gas,-999999.0
78,Power,-0.0
78,Heat,-0.0
78,Mobility,-0.0
78,Cooking,-0.0
78,Diesel,-999982.57674
78,FireWood,-999816.44564178
78,Gas,-999996.26886
79,Power,-0.0
79,Heat,-0.0
79,Mobility,-0.0
79,Cooking,-0.0
79,Diesel,-999982.87532
79,FireWood,-999819.29088316
79,Gas,-999993.53772
80,Power,-0.0
80,Heat,-0.0
80,Mobility,-0.0
80,Cooking,-0.0
80,Diesel,-999992.8011299999
80,FireWood,-999862.97910564
80,Gas,-999985.3443
81,Power,-0.0
81,Heat,-0.0
81,Mobility,-0.0
81,Cooking,-0.0
81,Diesel,-999981.42755
81,FireWood,-999854.25981754
