Hour,Technology,Value
61,DieselGenerator,0.0
62,SolarPV,0.0
62,WindOnshore,0.0
62,HydroPower,0.46799999999999997
62,DieselGenerator,0.0
63,SolarPV,0.0
63,WindOnshore,0.0
63,HydroPower,0.46799999999999997
63,DieselGenerator,0.0
64,SolarPV,0.0
64,WindOnshore,0.0
64,HydroPower,0.46799999999999997
64,DieselGenerator,0.0
65,SolarPV,0.0
65,WindOnshore,0.0
65,HydroPower,0.46799999999999997
65,DieselGenerator,0.0
66,SolarPV,0.0
66,WindOnshore,0.0
66,HydroPower,0.46149999999999997
66,DieselGenerator,0.0
67,SolarPV,0.0
67,WindOnshore,0.0
67,HydroPower,0.46149999999999997
67,DieselGenerator,0.0
68,SolarPV,0.0
68,WindOnshore,0.0
68,HydroPower,0.46149999999999997
68,DieselGenerator,0.0
69,SolarPV,0.0
69,WindOnshore,0.0
69,HydroPower,0.44849999999999995
69,DieselGenerator,0.0
70,SolarPV,0.0
70,WindOnshore,0.0
70,HydroPower,0.46149999999999997
70,DieselGenerator,0.0
71,SolarPV,0.0
71,WindOnshore,0.0
71,HydroPower,0.45499999999999996
71,DieselGenerator,0.0
72,SolarPV,0.0
72,WindOnshore,0.0
72,HydroPower,0.45499999999999996
72,DieselGenerator,0.0
73,SolarPV,0.0
73,WindOnshore,0.0
73,HydroPower,0.45499999999999996
73,DieselGenerator,0.0
74,SolarPV,0.0
74,WindOnshore,0.0
74,HydroPower,0.45499999999999996
74,DieselGenerator,0.0
75,SolarPV,0.0
75,WindOnshore,0.0
75,HydroPower,0.45499999999999996
75,DieselGenerator,0.0
76,SolarPV,0.0
76,WindOnshore,0.0
76,HydroPower,0.45499999999999996
76,DieselGenerator,0.0
77,SolarPV,0.0
77,WindOnshore,0.0
77,HydroPower,0.45499999999999996
77,DieselGenerator,0.0
78,SolarPV,0.0
78,WindOnshore,0.0
78,HydroPower,0.44849999999999995
78,DieselGenerator,0.0
79,SolarPV,0.0
79,WindOnshore,0.0
79,HydroPower,0.44849999999999995
79,DieselGenerator,0.0
80,SolarPV,0.0
80,WindOnshore,0.0
80,HydroPower,0.44849999999999995
80,DieselGenerator,0.0
81,SolarPV,0.0
81,WindOnshore,0.0
81,HydroPower,0.44849999999999995
81,DieselGenerator,0.0
82,SolarPV,0.0
82,WindOnshore,0.0
82,HydroPower,0.44849999999999995
82,DieselGenerator,0.0
83,SolarPV,0.0
83,WindOnshore,0.0
83,HydroPower,0.44849999999999995
83,DieselGenerator,0.0
84,SolarPV,0.0
84,WindOnshore,0.0
84,HydroPower,0.44849999999999995
84,DieselGenerator,0.0
85,SolarPV,0.0
85,WindOnshore,0.0
85,HydroPower,0.442
85,DieselGenerator,0.0
86,SolarPV,0.0
86,WindOnshore,0.0
86,HydroPower,0.442
86,DieselGenerator,0.0
87,SolarPV,0.0
87,WindOnshore,0.0
87,HydroPower,0.442
87,DieselGenerator,0.0
88,SolarPV,0.0
88,WindOnshore,0.0
88,HydroPower,0.442
88,DieselGenerator,0.0
89,SolarPV,0.0
89,WindOnshore,0.0
89,HydroPower,0.442
89,DieselGenerator,0.0
90,SolarPV,0.0
90,WindOnshore,0.0
90,HydroPower,0.429
90,DieselGenerator,0.0
91,SolarPV,0.0
91,WindOnshore,0.0
91,HydroPower,0.442
91,DieselGenerator,0.0
92,SolarPV,0.0
92,WindOnshore,0.0
92,HydroPower,0.442
92,DieselGenerator,0.0
93,SolarPV,0.0
93,WindOnshore,0.0
93,HydroPower,0.429
93,DieselGenerator,0.0
94,SolarPV,0.0
94,WindOnshore,0.0
94,HydroPower,0.4355
94,DieselGenerator,0.0
95,SolarPV,0.0
95,WindOnshore,0.0
95,HydroPower,0.4355
95,DieselGenerator,0.0
96,SolarPV,0.0
96,WindOnshore,0.0
96,HydroPower,0.4355
96,DieselGenerator,0.0
97,SolarPV,0.0
97,WindOnshore,0.0
97,HydroPower,0.4355
97,DieselGenerator,0.0
98,SolarPV,0.0
98,WindOnshore,0.0
98,HydroPower,0.4355
98,DieselGenerator,0.0
99,SolarPV,0.0
99,WindOnshore,0.0
99,HydroPower,0.4355
99,DieselGenerator,0.0
100,SolarPV,0.0
100,WindOnshore,0.0
100,HydroPower,0.4355
100,DieselGenerator,0.0
101,SolarPV,0.0
101,WindOnshore,0.0
101,HydroPower,0.4355
101,DieselGenerator,0.0
102,SolarPV,0.0
102,WindOnshore,0.0
102,HydroPower,0.4355
102,DieselGenerator,0.0
103,SolarPV,0.0
103,WindOnshore,0.0
103,HydroPower,0.4225
103,DieselGenerator,0.0
104,SolarPV,0.0
104,WindOnshore,0.0
104,HydroPower,0.429
104,DieselGenerator,0.0
105,SolarPV,0.0
105,WindOnshore,0.0
105,HydroPower,0.429
105,DieselGenerator,0.0
106,SolarPV,0.0
106,WindOnshore,0.0
106,HydroPower,0.429
106,DieselGenerator,0.0
107,SolarPV,0.0
107,WindOnshore,0.0
107,HydroPower,0.429
107,DieselGenerator,0.0
108,SolarPV,0.0
108,WindOnshore,0.0
108,HydroPower,0.429
108,DieselGenerator,0.0
109,SolarPV,0.0
109,WindOnshore,0.0
109,HydroPower,0.429
109,DieselGenerator,0.0
110,SolarPV,0.0
110,WindOnshore,0.0
110,HydroPower,0.429
110,DieselGenerator,0.0
111,SolarPV,0.0
111,WindOnshore,0.0
111,HydroPower,0.429
111,DieselGenerator,0.0
112,SolarPV,0.0
112,WindOnshore,0.0
112,HydroPower,0.429
112,DieselGenerator,0.0
113,SolarPV,0.0
113,WindOnshore,0.0
113,HydroPower,0.429
113,DieselGenerator,0.0
114,SolarPV,0.0
114,WindOnshore,0.0
114,HydroPower,0.33799999999999997
114,DieselGenerator,0.0
115,SolarPV,0.0
115,WindOnshore,0.0
115,HydroPower,0.40299999999999997
115,DieselGenerator,0.0
116,SolarPV,0.0
116,WindOnshore,0.0
116,HydroPower,0.4225
116,DieselGenerator,0.0
117,SolarPV,0.0
117,WindOnshore,0.0
117,HydroPower,0.4225
117,DieselGenerator,0.0
118,SolarPV,0.0
118,WindOnshore,0.0
118,HydroPower,0.4225
118,DieselGenerator,0.0
119,SolarPV,0.0
119,WindOnshore,0.0
119,HydroPower,0.4225
119,DieselGenerator,0.0
120,SolarPV,0.0
120,WindOnshore,0.0
120,HydroPower,0.4225
120,DieselGenerator,0.0
121,SolarPV,0.0
121,WindOnshore,0.0
121,HydroPower,0.4225
121,DieselGenerator,0.0
122,SolarPV,0.0
122,WindOnshore,0.0
122,HydroPower,0.4225
122,DieselGenerator,0.0
123,SolarPV,0.0
123,WindOnshore,0.0
123,HydroPower,0.4225
123,DieselGenerator,0.0
124,SolarPV,0.0
124,WindOnshore,0.0
124,HydroPower,0.416
124,DieselGenerator,0.0
125,SolarPV,0.0
125,WindOnshore,0.0
125,HydroPower,0.416
125,DieselGenerator,0.0
126,SolarPV,0.0
126,WindOnshore,0.0
126,HydroPower,0.416
126,DieselGenerator,0.0
127,SolarPV,0.0
127,WindOnshore,0.0
127,HydroPower,0.416
127,DieselGenerator,0.0
128,SolarPV,0.0
128,WindOnshore,0.0
128,HydroPower,0.416
128,DieselGenerator,0.0
129,SolarPV,0.0
129,WindOnshore,0.0
129,HydroPower,0.35750000000000004
129,DieselGenerator,0.0
130,SolarPV,0.0
130,WindOnshore,0.0
130,HydroPower,0.33149999999999996
130,DieselGenerator,0.0
131,SolarPV,0.0
131,WindOnshore,0.0
131,HydroPower,0.33149999999999996
131,DieselGenerator,0.0
132,SolarPV,0.0
132,WindOnshore,0.0
132,HydroPower,0.33149999999999996
132,DieselGenerator,0.0
133,SolarPV,0.0
133,WindOnshore,0.0
133,HydroPower,0.33149999999999996
133,DieselGenerator,0.0
134,SolarPV,0.0
134,WindOnshore,0.0
134,HydroPower,0.3445
134,DieselGenerator,0.0
135,SolarPV,0.0
135,WindOnshore,0.0
135,HydroPower,0.40299999999999997
135,DieselGenerator,0.0
136,SolarPV,0.0
136,WindOnshore,0.0
136,HydroPower,0.4095
136,DieselGenerator,0.0
137,SolarPV,0.0
137,WindOnshore,0.0
137,HydroPower,0.4095
137,DieselGenerator,0.0
138,SolarPV,0.0
138,WindOnshore,0.0
138,HydroPower,0.4095
138,DieselGenerator,0.0
139,SolarPV,0.0
